itemCode,yahooID,itemName,description,amzbulletpoint1,amzbulletpoint2,amzbulletpoint3,amzbulletpoint4,amzbulletpoint5
RE618,re618,Bear and Twig Double Switch Plate Cover,"A Black Forest Decor Exclusive - The poly-resin Bear and Twig Double Switch Plate Cover, featuring lounging black bears, adds a dash of whimsy to the rustic home. ~",,,,,
DS22159,bear-forest-3-d-metal-wall-art,Bear Forest 3-D Metal Wall Art,"Exclusive - A bear wanders among rugged pines on this layered metal wall art in a rustic brown finish. Measures 27Â¼""W x 20Â½""H. ~",,,,,
DS62010,wild-horses-comfort-floor-mat,Wild Horses Comfort Floor Mat,"Exclusive - Wild horses run into view on this comfy microfiber memory foam mat with JQ Design artwork. Measures 19Â½""W x 31Â½""L. ~",,,,,
DS21679,horse-over-the-door-cowboy-hat-rack,Horse Over-the-Door Cowboy Hat Rack,"Exclusive - A circled running stallion adds western style to this metal rack with belt hook that holds three cowboy hats and fits over a standard door. Measures 11""W x 8Â½""D x 30Â½""H. ~",,,,,
RE2220,lake-led-metal-sign,Lake LED Metal Sign,A Black Forest Decor exclusive - Add a vintage look to your lake lodge with this heavy metal dimensional sign with LED lights. 4-hour timer mode and on/off switch. Uses three AA batteries (not included). 20âW x 2âD x 10 1/2âH,,,,,
RH11034,burgundy-taos-placemat,Burgundy Taos Placemat,Southwest designs are woven in deep jewel tones on these bold cotton/poly table linens. Machine wash. 13âW x 19âL,,,,,
RE658,rainbow-trout-cabinet-pulls-set-of-2,Rainbow Trout Cabinet Pulls (Set of 2),"A Black Forest Decor exclusive - Add a fun lodge detail to cabinets with these hand-painted polyresin pulls. Mounting screws included in two different lengths. 5 1/2""W x 1""D x 2""H with 3â centers",,,,,
RH12014,sonora-diamonds-table-runner,Sonora Diamonds Table Runner,Interlocking diamonds and subtle stripes create an elegant southwest tablescape on these cotton/poly linens. Machine wash 13âW x 72âL,,,,,
PK79747,,Pinecone Plaid Valance,"Inviting jewel tones give this 100% cotton jacquard Pinecone Plaid Valance with woven pinecones a classic cabin look.  Machine wash.  Measures 72""W x 14""H with 2"" rod pocket. ~",,,,,
OPDM316M,moose-rustic-metal-lamp,Moose Rustic Metal Lamp,"Exclusive - Rustic powder coating with exposed edges and seams enhances the character of these 3-D, 18-gauge metal art lamps with a pine log base and laced shade.  Each uses one 40-watt max bulb.  Handmade in the USA.  Measures 12""W x 12""D x 21""H each. ~",,,,,
PK46301,high-country-placemat,High Country Placemat,"Bring a warm look to cabin meals with the cotton table linens in brick red, brown and tan plaid with wildlife, camp scenes and geometrics. Machine wash. Measures 13""W x 19""L. ~",,,,,
LKRA4291,,Turquoise Steer Head Wall Hook Rack,"A Lone Star Western Decor Exclusive - Stenciled scrolls and resin steer skull, jeweled concho and horseshoe embellishments give the black wood Turquoise Steer Head Wall Hook Rack with four metal hooks unique western style.  Measures 20""W x 2""D x 14""H. ~",,,,,
KE13013C,rather-be-fishing-soap-dish,Rather Be Fishing Soap Dish,"Emblems of fishing life and vintage lodge signs turn your bath into a rustic getaway.  Resin bath accessories and 100% cotton ivory towels.  Measures 5Â¼""W x 2""H. ~",,,,,
KE13017E,black-bear-lodge-tissue-box,Black Bear Lodge Tissue Box,"Featuring a playful black bears, the resin Black Bear Lodge Tissue Box adds the perfect rustic detail to your bath.  Measures 7""W x 7Â¼""H and fits square tissue boxes. ~",,,,,
2CRJP586,wind-river-plush-valance,Wind River Plush Valance,Transform your room into a southwestern retreat with this plush polyester valance. Machine wash. Transform your room into a southwestern retreat with this plush polyester valance. Machine wash.,,,,,
2LV56793812,sun-valley-footstool,Sun Valley Footstool,"Exclusive - Southwest-patterned chenille in shades of coral, gold, sage green and blue covers the Sun Valley Footstool with wood bun feet and comfy foam fill. Handcrafted in the USA. Spot clean. Measures 15""W x 12""D x 7""H. ~",,,,,
CARJB4129,bear-tracks-valance,Wildlife Tracks Bear Valance,"A Black Forest Decor Exclusive - A black bear appliquÃ© and embroidered bear tracks embellish the microsuede Bear Tracks Valance in caramel with olive tabs.  Machine wash.  Measures 54""W x 15""H with 3"" tabs. ~",,,,,
CARJB7000,desert-horizon-southwest-valance,Desert Horizon Southwest Valance,"A Lone Star Western Decor Exclusive - Southwestern diamond stripes in warm red, brown, blue-green, tan and gold woven poly chenille on the rod pocket Desert Horizon Southwest Valance creates a desert look on your windows.  Dry clean.  Measures 54""W x 18""H. ~",,,,,
BN63080690,woodland-cabin-chair-pad,Woodland Cabin Chair Pad,"Exclusive - Cabin and wildlife collages in three patterns bring outdoor style to these tufted chair pads made from 55% poly/45% rayon.  Reverses to 100% cotton duck.  Latex foam fill will not flatten.  Made in the USA.  Measures 17""W x 15""D x 2Â½""H each. ~",,,,,
CARJB4102,western-paisley-beaumont-concho-pillow-with-fringe,Western Paisley Beaumont Concho Pillow with Fringe,"A Black Forest Decor Exclusive - Rich brown, caramel and tan paisley woven chenille sides and faux leather fringe frame a rugged distressed faux leather center with a tied concho accent to give the Western Paisley Beaumont Concho Pillow with Fringe a sophisticated look.  Dry clean.  Measures 14""W x 26""L. ~",,,,,
