Vendor Name,Invoice  Date,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,PO Num,Total    Difference,Discrepancy,Memo
"Westport Linens, Inc",43096,104379,52,0,0,719838,52,719838-1,,PREVIOUSLY DELETED,WESTPORT LINENS 010918 104379
Artisans Gallery,43110,738827,57,3,0,738827,52,738827-1,-2,PO MISMATCH,ARTISANS GALLERY 011118 738827-1
Greenbox Art,43082,142014,99.5,5,0,714914,85.05,714914-1,-9.45,PO MISMATCH,GREENBOX 010918 (4)
Greenbox Art,43082,142013,74.5,0,0,716806,67.05,716806-1,-7.45,PO MISMATCH,GREENBOX 010918 (4)
Greenbox Art,43082,142015,99.5,5,0,718718,85.05,718718-1,-9.45,PO MISMATCH,GREENBOX 010918 (4)
"Michaelian Home, Inc.",43111,53947,99,0,0,738878,89,738878-1,-10,PO MISMATCH,MICHAELIAN HOME 011218 53947
"OK CASTING, LLC.",43111,68325,144,15,0,734743,128,734743-1,-1,PO MISMATCH,OK CASTING 011118 68325
WOODED RIVER,43109,122357,72.8,0,0,736881,67.34,736881-2,-5.46,PO MISMATCH,WOODED RIVER 010918 122357
Crestview Collection,43111,285670,69.95,0,0,,,73856-1,,NOT ON DROP SHIP REPORT,CRESTVIEW 011118 285670
"Trans-Ocean Import Co., Inc.",43108,850917,39.9,0,0,,,763461-2,,NOT ON DROP SHIP REPORT,TRANS OCEAN 010918 (3)
SOLSTICE ARTS,43109,80572,35,0,0,,,NO PO-,,NO PO ON INVOICE,SOLSTICE ARTS 010918 80572
Acadian Candle Company,43039,100749,100.5,1.5,0,699115,99,699115-2,,Duplicate - NOT UPLOADED,ACADIAN CANDLES 110617 100749
Acadian Candle Company,43049,100827,9.5,0,0,704670,9.5,704670-1,,Duplicate - NOT UPLOADED,ACADIAN 111017 73703
Acadian Candle Company,43049,100827,27,0,0,704853,27,704853-9,,Duplicate - NOT UPLOADED,ACADIAN 111017 73703
Acadian Candle Company,43049,100827,13.5,4.5,0,705266,18,705266-2,,Duplicate - NOT UPLOADED,ACADIAN 111017 73703
"All My Walls-Recherche,LLC",42769,1755,75,0,0,605725,75,605725-2,,Duplicate - NOT UPLOADED,ALL MY WALLS 11 01 17 1755
"All My Walls-Recherche,LLC",42898,1887,75,0,0,656020,75,656020-2,,Duplicate - NOT UPLOADED,ALL MY WALLS 11 01 17 1887
"All My Walls-Recherche,LLC",42906,1898,75,0,0,657884,75,657884-1,,Duplicate - NOT UPLOADED,ALL MY WALLS 11 01 17 1898
"All My Walls-Recherche,LLC",42948,1926,126,0,0,671463,126,671463-2,,Duplicate - NOT UPLOADED,ALL MY WALLS 11 01 17 1926
"All My Walls-Recherche,LLC",42968,1965,75,0,0,678832,75,678832-2,,Duplicate - NOT UPLOADED,ALL MY WALLS 11 01 17 1965
"All My Walls-Recherche,LLC",42984,1989,75,0,0,684328,126,684328-1,,Duplicate - NOT UPLOADED,ALL MY WALLS 11 01 17 1989
"All My Walls-Recherche,LLC",42991,2001,75,0,0,687470,75,687470-2,,Duplicate - NOT UPLOADED,ALL MY WALLS 11 01 17 2001
"All My Walls-Recherche,LLC",43007,2006,75,0,0,692695,75,692695-2,,Duplicate - NOT UPLOADED,ALL MY WALLS 11 01 17 2006
