Vendor Name,Invoice  Date,PO Num,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
Artisans Gallery,43035,692951-2,692951-2,196.65,25.65,0,692951,94,,Duplicate - NOT UPLOADED,ARTISANS GALLERY 122717 692951-2
Artisans Gallery,43035,692951-2,692951-2,196.65,25.65,0,692951,94,,Duplicate - NOT UPLOADED,ARTISANS GALLERY 10 30 17Invoice # 692951-2
Red Cabin Pottery,43005,691829-2,1317,104,0,0,691829,104,,Duplicate - NOT UPLOADED,RED CABIN 110117 1317
Wildwoods Manufacturing,43006,675758-2,961,800,0,0,675758,800,,Duplicate - NOT UPLOADED,WILDWOODS 110117 961
Blue Sky Clayworks,43115,NO PO-,8349,13,0,0,,,,NO PO ON INVOICE,BLUE SKY 011518 8394
HiEnd Accents,43116,7082-,231664,6748,0,0,,,,NO PO ON INVOICE,HIEND 011918 (309)
"American Cover Design 26, Inc.",43096,732422-1,110611,154,5,0,,,,NOT ON DROP SHIP REPORT,AMERICAN COVER 011518 (5)
"American Cover Design 26, Inc.",43103,7332869-2,110721,30,5,0,,,,NOT ON DROP SHIP REPORT,AMERICAN COVER 011518 (5)
Art Carpet,43099,73063-1,DEC2017BF,25,0,0,,,,NOT ON DROP SHIP REPORT,ART CARPET 011518 DEC2017BF
EFA,43076,705499-2,1851309,45,0,0,,,,NOT ON DROP SHIP REPORT,EFA 011918 (13)
EFA,43076,709200-2,1851310,22.5,0,0,,,,NOT ON DROP SHIP REPORT,EFA 011918 (13)
EFA,43076,722928-3,1851292,6.08,0,0,,,,NOT ON DROP SHIP REPORT,EFA 011918 (13)
EFA,43080,725501-2,1852281,60.3,0,0,,,,NOT ON DROP SHIP REPORT,EFA 011918 (13)
EFA,43080,725873-1,1852280,54,0,0,,,,NOT ON DROP SHIP REPORT,EFA 011918 (13)
EFA,43080,725919-2,1852279,7.88,0,0,,,,NOT ON DROP SHIP REPORT,EFA 011918 (13)
EFA,43080,726414-2,1852278,166.5,0,0,,,,NOT ON DROP SHIP REPORT,EFA 011918 (13)
EFA,43081,727246-1,1852467,108,0,0,,,,NOT ON DROP SHIP REPORT,EFA 011918 (13)
EFA,43082,727566-3,1852705,18,0,0,,,,NOT ON DROP SHIP REPORT,EFA 011918 (13)
EFA,43084,728882-1,1853060,38.7,0,0,,,,NOT ON DROP SHIP REPORT,EFA 011918 (13)
EFA,43088,729817-1,7853557,112.5,0,0,,,,NOT ON DROP SHIP REPORT,EFA 011918 (13)
EFA,43088,731227-2,1853547,108,0,0,,,,NOT ON DROP SHIP REPORT,EFA 011918 (13)
Elk Group International,43115,739919-5,1742197,109,0,0,,,,NOT ON DROP SHIP REPORT,ELK 011618 742197
Saverio Inc.,43115,740979-1,201810033,211,10,0,,,,NOT ON DROP SHIP REPORT,SAVERIO 011718 201810033
"All My Walls-Recherche,LLC",43111,739043-1,6024,126,0,0,739043,75,-51,PO MISMATCH,ALL MY WALLS 011718 6024
AROUND THE BEND,43116,734086-1,734086-1,144,9,0,734086,125,-10,PO MISMATCH,AROUND THE BEND 011718 734086
Crestview Collection,43118,739602-1,286230,27.95,0,0,739602,12.95,-15,PO MISMATCH,CRESTVIEW 011918 286230
"EXPO DECOR, LLC",43108,734447-1,78953,40,5,0,734447,31.5,-3.5,PO MISMATCH,EXPO 011518 (3)
"EXPO DECOR, LLC",43108,735397-1,78954,44,5,0,735397,35.1,-3.9,PO MISMATCH,EXPO 011518 (3)
"EXPO DECOR, LLC",43108,735433-2,78952,40,5,0,735433,31.5,-3.5,PO MISMATCH,EXPO 011518 (3)
HiEnd Accents,43054,710441-1,224143,278.5,5,0,710441,273.5,-8.29,PO MISMATCH,HIEND 111717
HiEnd Accents,43108,710441-1,230449,13.29,5,0,710441,273.5,-8.29,PO MISMATCH,HIEND 011918 (309)
HiEnd Accents,43068,718807-1,225703,55,5,0,718807,50,-45,PO MISMATCH,HIEND 121317
HiEnd Accents,43115,718807-1,231388,50,5,0,718807,50,-45,PO MISMATCH,HIEND 011918 (309)
HiEnd Accents,43112,727776-1,231228,61.14,5,0,727776,45,-11.14,PO MISMATCH,HIEND 011918 (309)
Mexican Country Imports,43117,740957-1,10882,102.29,30.34,0,740957,62,-9.95,PO MISMATCH,MEXICAN COUNTRY 011718 10882
"Michaelian Home, Inc.",43112,738972-4,53952,50,0,0,738972,40,-10,PO MISMATCH,MICHAELIAN HOME 011518 53952
SOLSTICE ARTS,43110,738529-1,80607,60,10,0,738529,45,-5,PO MISMATCH,SOLSTICE ARTS 011618 80607
SOLSTICE ARTS,43118,741859-1,80728,85,10,0,741859,75,-75,PO MISMATCH,SOLSTICE ARTS 011818 80728
SOLSTICE ARTS,43118,741859-1,80730,80,5,0,741859,75,-75,PO MISMATCH,SOLSTICE ARTS 011818 80730
West of the Wind Designs,43119,742231-2,94360,95,0,0,742231,90,-5,PO MISMATCH,WEST OF THE WIND 011918 94360
West of the Wind Designs,43119,742594-1,94361,95,0,0,742594,90,-5,PO MISMATCH,WEST OF THE WIND 011918 94361
WILD WINGS,43109,737966-1,339274,71.5,5,0,737966,38,-28.5,PO MISMATCH,WILD WINGS 011518 (12)
WOODED RIVER,43117,740625-2,122473,52.78,0,0,740625,50.05,-2.73,PO MISMATCH,WOODED RIVER 011718 122473
Acadian Candle Company,43119,736656-2,101657,8.25,0,0,736656,8.25,0,,ACADIAN 011918 101657
Acadian Candle Company,43119,738285-2,101657,16.5,0,0,738285,16.5,0,,ACADIAN 011918 101657
Acadian Candle Company,43119,738963-6,101657,13,4.5,0,738963,8.5,0,,ACADIAN 011918 101657
"All My Walls-Recherche,LLC",43104,735630-2,6019,75,0,0,735630,75,0,,ALL MY WALLS 011718 6019
"All My Walls-Recherche,LLC",43108,736967-1,6020,126,0,0,736967,126,0,,ALL MY WALLS 011718 6020
"All My Walls-Recherche,LLC",43108,737365-1,6021,126,0,0,737365,126,0,,ALL MY WALLS 011718 6021
"All My Walls-Recherche,LLC",43109,738216-3,6022,126,0,0,738216,126,0,,ALL MY WALLS 011718 6022
"All My Walls-Recherche,LLC",43111,738815-1,6023,75,0,0,738815,75,0,,ALL MY WALLS 011718 6023
"All My Walls-Recherche,LLC",43111,738971-1,6025,75,0,0,738971,252,177,,ALL MY WALLS 011718 6025
"All My Walls-Recherche,LLC",43115,740251-1,6026,75,0,0,740251,75,0,,ALL MY WALLS 011718 6026
"All My Walls-Recherche,LLC",43116,741129-1,6027,75,0,0,741129,75,0,,ALL MY WALLS 011718 6027
Always Azul Pottery,43110,720369-1,18206,248,8,0,720369,240,0,,ALWAYS AZUL 011518 18206
Always Azul Pottery,43110,721546-1,18206,124,4,0,721546,120,0,,ALWAYS AZUL 011518 18206
Always Azul Pottery,43110,722332-2,18206,124,4,0,722332,120,0,,ALWAYS AZUL 011518 18206
Always Azul Pottery,43110,722793-1,18206,124,4,0,722793,120,0,,ALWAYS AZUL 011518 18206
Always Azul Pottery,43110,722854-1,18206,62,2,0,722854,60,0,,ALWAYS AZUL 011518 18206
Always Azul Pottery,43110,723600-2,18206,124,4,0,723600,120,0,,ALWAYS AZUL 011518 18206
Always Azul Pottery,43110,727629-2,18206,248,8,0,727629,240,0,,ALWAYS AZUL 011518 18206
Always Azul Pottery,43115,728926-1,18216,62,2,0,728926,60,0,,ALWAYS AZUL 011618 18216
Always Azul Pottery,43110,729463-2,18206,22,2,0,729463,20,0,,ALWAYS AZUL 011518 18206
Always Azul Pottery,43115,729926-1,18216,62,2,0,729926,60,0,,ALWAYS AZUL 011618 18216
Always Azul Pottery,43115,730085-2,18216,310,10,0,730085,300,0,,ALWAYS AZUL 011618 18216
Always Azul Pottery,43110,730997-1,18206,62,2,0,730997,60,0,,ALWAYS AZUL 011518 18206
Always Azul Pottery,43115,732359-2,18216,117,2,0,732359,115,0,,ALWAYS AZUL 011618 18216
Always Azul Pottery,43110,732756-2,18206,57,2,0,732756,55,0,,ALWAYS AZUL 011518 18206
Always Azul Pottery,43115,734535-1,18216,29,2,0,734535,27,0,,ALWAYS AZUL 011618 18216
Always Azul Pottery,43115,735412-3,18216,57,2,0,735412,55,0,,ALWAYS AZUL 011618 18216
Always Azul Pottery,43115,735842-4,18216,127,2,0,735842,125,0,,ALWAYS AZUL 011618 18216
Always Azul Pottery,43115,737704-2,18216,29,2,0,737704,27,0,,ALWAYS AZUL 011618 18216
Always Azul Pottery,43115,738400-1,18216,31,2,0,738400,29,0,,ALWAYS AZUL 011618 18216
"American Cover Design 26, Inc.",43090,731782-1,110520,33,5,0,731782,28,0,,AMERICAN COVER 011518 (5)
"American Cover Design 26, Inc.",43096,732154-2,110611,57,5,0,732154,52,0,,AMERICAN COVER 011518 (5)
"American Cover Design 26, Inc.",43096,732270-1,110611,154,5,0,732270,149,0,,AMERICAN COVER 011518 (5)
"American Cover Design 26, Inc.",43096,732281-1,110611,17,5,0,732281,12,0,,AMERICAN COVER 011518 (5)
"American Cover Design 26, Inc.",43096,732555-1,110611,14.9,5,0,732555,9.9,0,,AMERICAN COVER 011518 (5)
"American Cover Design 26, Inc.",43096,733040-3,110611,54.9,5,0,733040,49.9,0,,AMERICAN COVER 011518 (5)
"American Cover Design 26, Inc.",43097,733324-2,110649,33,5,0,733324,28,0,,AMERICAN COVER 011518 (5)
"American Cover Design 26, Inc.",43097,733352-1,110649,14.9,5,0,733352,9.9,0,,AMERICAN COVER 011518 (5)
"American Cover Design 26, Inc.",43097,733680-1,110649,154,5,0,733680,149,0,,AMERICAN COVER 011518 (5)
"American Cover Design 26, Inc.",43103,733736-1,110721,14.9,5,0,733736,9.9,0,,AMERICAN COVER 011518 (5)
"American Cover Design 26, Inc.",43103,733794-2,110722,29,5,0,733794,88,64,,AMERICAN COVER 011518 (5)
