Vendor Name,Invoice  Date,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,PO Num,Total    Difference,Discrepancy,Memo
MEXPORTS,43132,7496,829,0,0,749926,749,749926-1,-80,CREDIT CARD INVOICE  - NOT UPLOADED,MEXPORTS 020718 201810003 N
ANASAZI METAL WORKS,43123,3578,46,6,0,,,Dix-,,NO PO ON INVOICE,ANASAZI 020518 3578 N
All Resort Furnishings,43136,3940,90,5,0,,,742018-1,,NOT ON DROP SHIP REPORT,ALL RESORT 020618 3940 N
American Crystal,43082,12839,72,0,0,,,723092-1,,NOT ON DROP SHIP REPORT,AMERICAN CRYSTAL 020618 12839
ANASAZI METAL WORKS,43123,3578,46,6,0,,,742238-1,,NOT ON DROP SHIP REPORT,ANASAZI 020518 3578 N
Designers Fountain,43126,92920907,132.5,5,0,,,705031-,,NOT ON DROP SHIP REPORT,DESIGNERS FTN 020518 (4) N
Designers Fountain,43126,92920908,132.5,5,0,,,705546-,,NOT ON DROP SHIP REPORT,DESIGNERS FTN 020518 (4) N
Designers Fountain,43126,92920909,689.7,5,0,,,706165-,,NOT ON DROP SHIP REPORT,DESIGNERS FTN 020518 (4) N
Designers Fountain,43126,92920910,71.75,5,0,,,706166-,,NOT ON DROP SHIP REPORT,DESIGNERS FTN 020518 (4) N
HiEnd Accents,43137,233655,65,5,0,,,747707-1,,NOT ON DROP SHIP REPORT,HI END 020718 132 N
Artisans Gallery,43138,747603-1,178,18,0,747603,142,747603-1,-18,PO MISMATCH,ARTISANS GALLERY 020818 747603-1 N
Artisans Gallery,43136,746611-2,47,6.05,0,746611,40,746611-2,-0.95,PO MISMATCH,ARTISANS GALLERY 020618 746611-2 N
EVERGREEN ENTERPRISES,43132,6421946,85,5,0,734110,65,734110-2,-15,PO MISMATCH,EVERGREEN 020518 6421946 N
HiEnd Accents,43132,233071 Replacement,25,0,0,729356,25,729356-2,0,REVISED - NOT UPLOADED,HI END 020718 132 N
HiEnd Accents,43132,233072 Replacement,69,0,0,729154,69,729154-1,0,REVISED - NOT UPLOADED,HI END 020718 132 N
HiEnd Accents,43132,233063 Replacement,75,0,0,727961,270,727961-1,195,REVISED - NOT UPLOADED,HI END 020718 132 N
HiEnd Accents,43133,233219 Replacement,70,0,0,719854,241.5,719854-2,171.5,REVISED - NOT UPLOADED,HI END 020718 132 N
Mexican Country Imports,43137,10918,0,0,0,720303,114,720303-1,114,REVISED - NOT UPLOADED,MEXICAN CO 020718 10918 N
HiEnd Accents,43132,233070,8847,0,0,,,7151-,,WAREHOUSE- NOT UPLOADED,HI END 020718 132 N
All Resort Furnishings,43136,3940,90,5,0,736140,85,736140-1,0,,ALL RESORT 020618 3940 N
All Resort Furnishings,43136,3940,142,5,0,737026,137,737026-3,0,,ALL RESORT 020618 3940 N
All Resort Furnishings,43136,3940,57,5,0,737955,52,737955-1,0,,ALL RESORT 020618 3940 N
All Resort Furnishings,43136,3940,100,5,0,738826,95,738826-1,0,,ALL RESORT 020618 3940 N
All Resort Furnishings,43136,3940,195,5,0,739141,190,739141-1,0,,ALL RESORT 020618 3940 N
All Resort Furnishings,43136,3940,57,5,0,739771,52,739771-2,0,,ALL RESORT 020618 3940 N
All Resort Furnishings,43136,3940,90,5,0,739906,85,739906-1,0,,ALL RESORT 020618 3940 N
All Resort Furnishings,43136,3940,57,5,0,740091,52,740091-2,0,,ALL RESORT 020618 3940 N
All Resort Furnishings,43136,3940,57,5,0,741680,52,741680-4,0,,ALL RESORT 020618 3940 N
All Resort Furnishings,43136,3940,100,5,0,743540,95,743540-1,0,,ALL RESORT 020618 3940 N
All Resort Furnishings,43136,3940,90,5,0,743919,85,743919-1,0,,ALL RESORT 020618 3940 N
All Resort Furnishings,43136,3940,55,5,0,743970,50,743970-4,0,,ALL RESORT 020618 3940 N
All Resort Furnishings,43136,3940,50,5,0,746607,45,746607-1,0,,ALL RESORT 020618 3940 N
All Resort Furnishings,43136,3940,50,5,0,747553,45,747553-3,0,,ALL RESORT 020618 3940 N
All Resort Furnishings,43136,3940,100,5,0,734167,190,734167-3,95,,ALL RESORT 020618 3940 N
All Resort Furnishings,43136,3940,44,5,0,735168,78,735168-2,13,,ALL RESORT 020618 3940 N
All Resort Furnishings,43136,3940,31,5,0,735168,78,735168-8,13,,ALL RESORT 020618 3940 N
