Vendor Name,Invoice  Date,PO Num,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
Artisans Gallery,43153,756467-1,756467-1,81.9,13.65,0,756467,68.25,0,Duplicate - NOT UPLOADED,ARTISANS GALLERY 022318 756467-1 N
"StyleCraft Home Collection, Inc.",43147,753950-1,1452634,45.99,0,0,753950,48.41,2.42,Duplicate - NOT UPLOADED,STYLECRAFT 022318 1452634 N
HiEnd Accents,43151,740887-1,235054,195,0,0,740887,436,-190,PO MISMATCH,HIEND 022118 (27.2) N
HiEnd Accents,43137,740887-1,233679,436,5,0,740887,436,-190,PO MISMATCH,HI END 020718 132 N
"StyleCraft Home Collection, Inc.",43067,715432-1,1420145,149.95,0,0,715432,133.91,-16.04,PO MISMATCH,STYLECRAFT 021918 (3) N
Greenbox Art,43133,741535-2,147075,99.5,5,0,741535,85.05,-9.45,PO MISMATCH,GREENBOX 022218 2 N
Greenbox Art,43131,741705-1,146683,99.5,5,0,741705,85.05,-9.45,PO MISMATCH,GREENBOX 022218 2 N
West of the Wind Designs,43150,755487-1,94520,95,0,0,755487,90,-5,PO MISMATCH,WEST OF THE WIND 021918 94520 N
West of the Wind Designs,43153,756116-2,94539,95,0,0,756116,90,-5,PO MISMATCH,WEST OF THE WIND 022218 34539 N
"EXPO DECOR, LLC",43145,752454-1,79151,54,5,0,752454,44.1,-4.9,PO MISMATCH,EXPO 021918 79151 N
Mexican Country Imports,43150,754391-1,10952,247.08,19.9,91.18,754391,133.54,-2.46,PO MISMATCH,MEXICAN CO IMP 021918 10952 N
"American Cover Design 26, Inc.",43138,750031-1,111625,54.9,5,0,750031,49,-0.9,PO MISMATCH,AMERICAN COVER 021918 (5) N
Fireside Lodge,43152,741472-2,69848,1234.87,399.87,0,741472,818.3,-16.7,,FIRESIDE 022218 69848 N20
Fireside Lodge,43152,743545-1,69925,814.36,384.36,0,743545,421.4,-8.6,,FIRESIDE 022218 69925 N20
Bacova Guild,43150,754480-1,4609334,46.4,0,0,754480,40.84,-5.56,,BACOVA 022018 (4) N
Bacova Guild,43150,754002-2,4609331,43.1,0,0,754002,37.94,-5.16,,BACOVA 022018 (4) N
Bacova Guild,43153,755836-2,4611175,36,0,0,755836,31.68,-4.32,,BACOVA 022318 (12) N
