Vendor Name,Invoice  Date,PO Num,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
A HOMESTEAD SHOPPE,43157,756769-1,431170,43,5,0,756769,19,-19,PO MISMATCH,AHS 022618 431170 CC
ALWAYS UNIQUE,43146,738278-2,738278-2,15.9,0,0,738278,49,33.1,PO MISMATCH,ALWAYS UNIQUE 022618 23 CC
ALWAYS UNIQUE,43119,742280-1,742280-1,79,10,0,742280,69,0,,ALWAYS UNIQUE 022618 23 CC
ALWAYS UNIQUE,43144,744620-2,744620-2,109,10,0,744620,99,0,,ALWAYS UNIQUE 022618 23 CC
ALWAYS UNIQUE,43139,744831-8,744831-8,99,10,0,744831,89,0,,ALWAYS UNIQUE 022618 23 CC
ALWAYS UNIQUE,43139,744972-1,744972-1,59,10,0,744972,49,0,,ALWAYS UNIQUE 022618 23 CC
ALWAYS UNIQUE,43139,746504-1,746504-1,59,10,0,746504,49,0,,ALWAYS UNIQUE 022618 23 CC
ALWAYS UNIQUE,43129,746548-2,746548-2,32,10,0,746548,22,0,,ALWAYS UNIQUE 022618 23 CC
ALWAYS UNIQUE,43129,746648-1,746648-1,79,10,0,746648,69,0,,ALWAYS UNIQUE 022618 23 CC
ALWAYS UNIQUE,43129,746654-2,746654-2,79,10,0,746654,69,0,,ALWAYS UNIQUE 022618 23 CC
ALWAYS UNIQUE,43136,748353-2,748353-2,26,10,0,748353,16,0,,ALWAYS UNIQUE 022618 23 CC
ALWAYS UNIQUE,43136,748885-4,748885-4,97,10,0,748885,87,0,,ALWAYS UNIQUE 022618 23 CC
ALWAYS UNIQUE,43136,749117-1,749117-1,97,10,0,749117,87,0,,ALWAYS UNIQUE 022618 23 CC
ALWAYS UNIQUE,43136,749546-2,749546-2,97,10,0,749546,87,0,,ALWAYS UNIQUE 022618 23 CC
ALWAYS UNIQUE,43137,750124-1,750124-1,32,10,0,750124,22,0,,ALWAYS UNIQUE 022618 23 CC
ALWAYS UNIQUE,43138,750343-2,750343-2,32,10,0,750343,22,0,,ALWAYS UNIQUE 022618 23 CC
