Vendor Name,Invoice  Date,PO Num,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
A HOMESTEAD SHOPPE,43167,758815-2,431514,44.2,10,0,758815,33.24,-0.96,PO MISMATCH,AHS 030818 (4) C
A HOMESTEAD SHOPPE,43167,755395-1,431515,44.2,10,0,755395,33.24,-0.96,PO MISMATCH,AHS 030818 (4) C
A HOMESTEAD SHOPPE,43167,746031-2,431516,46.1,10,0,746031,35.62,-0.48,PO MISMATCH,AHS 030818 (4) C
A HOMESTEAD SHOPPE,43171,763358-2,431636,22.1,5,0,763358,16.62,-0.48,PO MISMATCH,AHS 031218 431636C
ALWAYS UNIQUE,43167,752487-2,752487-2,82,10,0,752487,120,48,,ALWAYS UNIQUE 031518 752487-2C
ALWAYS UNIQUE,43167,748225-3,748225-3,97,10,0,748225,174,87,,ALWAYS UNIQUE 031518 (25) C
Attilas,43159,746663-1,17052,59,10,0,746663,55,6,,ATTILAS 030518 17052.
Attilas,43164,758239-2,17061,59,10,0,758239,55,6,,ATTILAS 031218 PMT RECPT (3) C
Attilas,43164,758439-1,17062,59,10,0,758439,55,6,,ATTILAS 031218 PMT RECPT (3) C
Attilas,43164,758491-1,17063,59,10,0,758491,55,6,,ATTILAS 031218 PMT RECPT (3) C
Avalanche Ranch,43139,751376-3,72988,260,0,0,751376,251,-9,PO MISMATCH,AVALANCHE RANCH 031318 72988C
BUCK SNORT,43161,754436-1,38482,45.45,3,8.95,,,,NOT ON DROP SHIP REPORT,BUCK SNORT 030518 (5) 176.90C
CAPITOL IMPORTING,43172,763272-5,168299,31.5,3,0,763272,32.5,4,,CAPITOL 031318 168299C
CAPITOL IMPORTING,43166,762052-1,167978,53,3,0,762052,46.5,-3.5,PO MISMATCH,CAPITOL 030818 167978C
CARSTENS INC,43164,727279-1,223907,32.5,3,0,,,,NOT ON DROP SHIP REPORT,CARSTENS 030618 PMT RECPT 1545.00 (18) C
CARSTENS INC,43164,728498-1,224055,100,6,0,,,,NOT ON DROP SHIP REPORT,CARSTENS 030618 PMT RECPT 1545.00 (18) C
CAST HORN DESIGN,43172,763174-2,21060,122,10,0,763174,224,112,,CAST HORN 031418 21060C
CHANDLER 4 CORNERS,43166,761991-2,238108,55,10,0,761991,45,0,DUPLICATE,CHANDLER 030718 238108C
