Vendor Name,Invoice  Date,PO Num,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
Avalanche Ranch,43172,751376-3,81764,260,0,0,751376,251,-9,,AVALANCHE RANCH 032218 81764C
BEL AIR LIGHTING,43166,761684-2,2029106,129,0,0,761684,119,-10,PO MISMATCH,TRANS GLOBE BEL AIR 030818 2029106C
BEL AIR LIGHTING,43167,761853-1,2030191,258,0,0,761853,238,-20,PO MISMATCH,TRANS GLOBE BEL AIR 030918 2030191C
BS TRADING RUG,43175,760537-1,40574,80,5,0,760537,80,5,,BS TRADING 031918 40574C
BS TRADING RUG,43175,764053-2,40575,80,5,0,764053,80,5,,BS TRADING 031918 40575C
CAPITOL IMPORTING,43179,766588-2,168679,19.25,3,0,766588,17.95,1.7,,CAPITOL 032118 168679C
CARSTENS INC,43175,739456-2,224568,22,3,0,739456,38,19,,CARSTENS 031918 PMT RECPT 1497.00N (20)
Celebration Tablecloths,43182,698004-,698004,33.99,0,0,698004,30.99,-3,PO MISMATCH,CELEBRATION TABLECLOTHS 032318 (4) C
Celebration Tablecloths,43182,746920-,746920,33.99,0,0,746920,30.99,-3,PO MISMATCH,CELEBRATION TABLECLOTHS 032318 (4) C
Celebration Tablecloths,43182,760515-,760515,54.98,0,0,760515,50.98,-4,PO MISMATCH,CELEBRATION TABLECLOTHS 032318 (4) C
Celebration Tablecloths,43182,758386-,758386,40,0,0,758386,40.99,0.99,,CELEBRATION TABLECLOTHS 032318 (4) C
CHANDLER 4 CORNERS,43175,765644-2,238259,226,10,0,765644,256.5,40.5,,CHANDLER 031918 238259C
DESIGN IMPRESSIONS,43095,732330-1,12261727,41.5,5,2.5,732330,34,-34,PO MISMATCH,DESIGN IMPRESSIONS 032118 (33) C
DESIGN IMPRESSIONS,43102,732330-1,1021804,41.5,5,2.5,732330,34,-34,PO MISMATCH,DESIGN IMPRESSIONS 032118 (33) C
HERITAGE LACE,43173,760875-1,1261684,22.2,0,0,760875,20.35,-1.85,PO MISMATCH,HERITAGE LACE 031918 (6) C
"Kalalou, Inc.",43177,744426-2,652404,29.1,6,0,744426,17.1,-6,PO MISMATCH,KALALOU 031918 652404C
"Kalalou, Inc.",43177,747365-2,652405,29.1,6,0,747365,17.1,-6,PO MISMATCH,KALALOU 031918 652405C
"Kalalou, Inc.",43177,761117-2,652867,40.2,6,0,761117,30.6,-3.6,PO MISMATCH,KALALOU 032018 652867C
"Kalalou, Inc.",43179,766112-2,653083,61.5,6,0,766112,49.5,-6,PO MISMATCH,KALALOU 032018 653083C
"Kalalou, Inc.",43179,766303-3,653088,49.8,6,0,766303,37.8,-6,PO MISMATCH,KALALOU 032018 653088C
"Kalalou, Inc.",43179,766335-,653114,88.5,6,0,766335,76.5,-6,PO MISMATCH,KALALOU 032018 653114C
"Kalalou, Inc.",43179,767239-1,653051,47.1,6,0,767239,35.1,-6,PO MISMATCH,KALALOU 032018 653051C
"Kalalou, Inc.",43181,767784-1,653745,27.6,6,0,767784,47.7,26.1,,KALALOU 032318 653745C
MANUAL WOODWORKERS,43173,763698-3,8524492,11.1,3,0,763698,4.05,-4.05,PO MISMATCH,MANUAL WEAVERS 031918 8524492C
MANUAL WOODWORKERS,43180,767312-2,8557243,11.1,3,0,767312,4.05,-4.05,PO MISMATCH,MANUAL WEAVERS 032218 8557243C
PARK DESIGN,43165,759001-2,1400406,208.41,5,20.61,759001,164.05,-18.75,PO MISMATCH,PARK 030618 1400406C
PARK DESIGN,43173,761262-3,1401354,268.88,5,17.98,761262,223.55,-22.35,PO MISMATCH,PARK 031418 1401354C
PARK DESIGN,43173,761843-1,1401352,27.42,5,2.92,761843,16.58,-2.92,PO MISMATCH,PARK 031418 1401352C
PARK DESIGN,43173,762464-2,1401360,229.23,5,15.6,762464,204.43,-4.2,PO MISMATCH,PARK 031418 1401360C
PEWTER.COM,42976,680051-3,107279,53,4,0,680051,44,-5,PO MISMATCH,PEWTER.COM 032218C (4)
PEWTER.COM,42989,686006-2,107392,21.27,4,3.77,686006,12.5,-1,PO MISMATCH,PEWTER.COM 032218C (4)
Sierra Lifestyles,43169,763319-2,32859,18,0,0,763319,17.74,-0.26,PO MISMATCH,SIERRA 031218 PMT RECPT 32859C
Sierra Lifestyles,43172,763904-2,32894,17,0,0,763904,16.74,-0.26,PO MISMATCH,SIERRA 031518 PMT RECPT 32894C
Sierra Lifestyles,43166,760551-2,32828,8.5,0,0,760551,8.37,-0.13,,SIERRA 031218 PMT RECPT 32828C
Sierra Lifestyles,43166,761802-1,32819,13,0,0,761802,12.8,-0.2,,SIERRA 031218 PMT RECPT 32819C
Sierra Lifestyles,43166,761919-2,32829,8.5,0,0,761919,8.37,-0.13,,SIERRA 031218 PMT RECPT 32829C
Sierra Lifestyles,43168,762133-1,32846,48.32,0,0,762133,64,15.68,,SIERRA 031218 PMT RECPT 32846C
Sierra Lifestyles,43172,762356-2,32891,10.5,0,0,762356,10.34,-0.16,,SIERRA 031518 PMT RECPT 32891C
Sierra Lifestyles,43173,763522-1,32903,13,0,0,763522,12.8,-0.2,,SIERRA 031518 PMT RECPT 32903C
Sierra Lifestyles,43172,763782-1,32895,6.5,0,0,763782,6.4,-0.1,,SIERRA 031518 PMT RECPT 32895C
Sierra Lifestyles,43170,764124-2,32862,11,0,0,764124,10.84,-0.16,,SIERRA 031218 PMT RECPT 32862C
Sierra Lifestyles,43172,764427-1,32892,8.5,0,0,764427,8.37,-0.13,,SIERRA 031518 PMT RECPT 32892C
Sierra Lifestyles,43172,764457-2,32896,10.5,0,0,764457,10.34,-0.16,,SIERRA 031518 PMT RECPT 32896C
SLEEPYS LOG FURNITURE,43165,755032-1,21820,97.5,7.5,0,755032,90,-90,PO MISMATCH,SLEEPYS 031218 PMT RECPT (3)C
SLEEPYS LOG FURNITURE,43157,755032-1,21802,97.5,7.5,0,755032,90,-90,PO MISMATCH,SLEEPYS 030518 21802C
UNITED WEAVERS,43181,768181-1,1104317,75.01,5,22.51,768181,45,-2.5,PO MISMATCH,UNITED WEAVERS 031918 (16)C
VAXCEL,43173,757225-2,806012,52.38,2.5,0,757225,123.5,-6.18,PO MISMATCH,VAXCEL 032118 PMT RECPT 4597.01C
VAXCEL,43173,757225-1,806014,82.3,2.5,0,757225,123.5,-6.18,PO MISMATCH,VAXCEL 032118 PMT RECPT 4597.01C
VAXCEL,43173,763749-3,806145,230.5,2.5,0,763749,226.1,-1.9,PO MISMATCH,VAXCEL 032118 PMT RECPT 4597.01C
VAXCEL,43173,763846-1,806193,145,2.5,0,763846,136.8,-5.7,PO MISMATCH,VAXCEL 032118 PMT RECPT 4597.01C
VAXCEL,43173,764117-4,806092,181.1,2.5,0,764117,175.75,-2.85,PO MISMATCH,VAXCEL 032118 PMT RECPT 4597.01C
VAXCEL,43173,764429-1,805876,73.75,2.5,0,764429,68.4,-2.85,PO MISMATCH,VAXCEL 032118 PMT RECPT 4597.01C
VAXCEL,43173,764538-3,805872,73.75,2.5,0,764538,68.4,-2.85,PO MISMATCH,VAXCEL 032118 PMT RECPT 4597.01C
VAXCEL,43173,764551-2,806093,258.05,2.5,0,764551,253.65,-1.9,PO MISMATCH,VAXCEL 032118 PMT RECPT 4597.01C
VAXCEL,43173,764645-3,806117,116.5,2.5,0,764645,113.05,-0.95,PO MISMATCH,VAXCEL 032118 PMT RECPT 4597.01C
VAXCEL,43173,764693-1,806191,89.9,2.5,0,764693,85.98,-1.42,PO MISMATCH,VAXCEL 032118 PMT RECPT 4597.01C
VAXCEL,43173,764725-1,805963,162.1,2.5,0,764725,152,-7.6,PO MISMATCH,VAXCEL 032118 PMT RECPT 4597.01C
VAXCEL,43173,764794-2,806123,91.8,2.5,0,764794,88.35,-0.95,PO MISMATCH,VAXCEL 032118 PMT RECPT 4597.01C
VAXCEL,43173,764840-1,806090,187.75,2.5,0,764840,181.45,-3.8,PO MISMATCH,VAXCEL 032118 PMT RECPT 4597.01C
VAXCEL,43173,764914-1,806091,492.7,2.5,0,764914,485.45,-4.75,PO MISMATCH,VAXCEL 032118 PMT RECPT 4597.01C
VAXCEL,43173,765039-1,806118,73.75,2.5,0,765039,68.4,-2.85,PO MISMATCH,VAXCEL 032118 PMT RECPT 4597.01C
VAXCEL,43177,765126-2,806380,74.7,2.5,0,765126,71.25,-0.95,PO MISMATCH,VAXCEL 032118 PMT RECPT 2710.85C
VAXCEL,43178,765233-3,806690,186.8,2.5,0,765233,183.35,-0.95,PO MISMATCH,VAXCEL 032118 PMT RECPT 2380.20C
VAXCEL,43173,765282-1,806144,82.3,2.5,0,765282,76,-3.8,PO MISMATCH,VAXCEL 032118 PMT RECPT 4597.01C
VAXCEL,43178,765284-3,806624,73.75,2.5,0,765284,70.3,-0.95,PO MISMATCH,VAXCEL 032118 PMT RECPT 2380.20C
VAXCEL,43178,765293-1,806622,35.51,2.5,0,765293,31.35,-1.66,PO MISMATCH,VAXCEL 032118 PMT RECPT 2380.20C
VAXCEL,43177,765315-2,806381,74.7,2.5,0,765315,71.25,-0.95,PO MISMATCH,VAXCEL 032118 PMT RECPT 2710.85C
VAXCEL,43178,765355-2,806620,287.5,2.5,0,765355,273.6,-11.4,PO MISMATCH,VAXCEL 032118 PMT RECPT 2380.20C
VAXCEL,43178,765448-2,806621,46.2,2.5,0,765448,42.99,-0.71,PO MISMATCH,VAXCEL 032118 PMT RECPT 2380.20C
VAXCEL,43173,765451-2,806147,162.1,2.5,0,765451,152,-7.6,PO MISMATCH,VAXCEL 032118 PMT RECPT 4597.01C
VAXCEL,43178,765462-2,806669,216.25,2.5,0,765462,210.9,-2.85,PO MISMATCH,VAXCEL 032118 PMT RECPT 2380.20C
VAXCEL,43178,765503-2,806747,309.35,2.5,0,765503,298.3,-8.55,PO MISMATCH,VAXCEL 032118 PMT RECPT 2380.20C
VAXCEL,43177,765714-2,806388,91.8,2.5,0,765714,88.35,-0.95,PO MISMATCH,VAXCEL 032118 PMT RECPT 2710.85C
VAXCEL,43177,765795-2,806333,715,2.5,0,765795,708.47,-4.03,PO MISMATCH,VAXCEL 032118 PMT RECPT 2710.85C
VAXCEL,43177,765802-2,806433,259,2.5,0,765802,252.7,-3.8,PO MISMATCH,VAXCEL 032118 PMT RECPT 2710.85C
