Vendor Name,Invoice  Date,PO Num,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
"American Cover Design 26, Inc.",43167,763064-1,112379,48.9,5,0,763064,43.8,-0.1,,AMERICAN COVER 031918 (6) N
Artisans Gallery,43165,760989-1,760989-1,116.4,19.4,0,760989,100,,DUPLICATE,ARTISANS GALLERY 031918 760989-1N
Artisans Gallery,43175,758110-1,758110-1,78.25,10,0,758110,59,-9.25,PO MISMATCH,ARTISANS GALLERY 031918 758110-1N
Artisans Gallery,43175,759342-2,759342-2,78.25,10,0,759342,59,-9.25,PO MISMATCH,ARTISANS GALLERY 031918 759342-2N
Artisans Gallery,43175,765679-2,765679-2,78.25,10,0,765679,59,-9.25,PO MISMATCH,ARTISANS GALLERY 031918 765679-2N
Bacova Guild,43179,765499-2,4622726,16,0,0,765499,13.6,-2.4,PO MISMATCH,BACOVA 032118 (10) N
Bacova Guild,43181,742137-1,4624080,7.2,0,0,742137,6.34,-0.86,,BACOVA 032318 (12)N
Bacova Guild,43181,750780-3,4624081,9,0,0,750780,7.92,-1.08,,BACOVA 032318 (12)N
Bacova Guild,43181,763231-10,4624082,7.2,0,0,763231,27.2,20,,BACOVA 032318 (12)N
Bacova Guild,43179,765092-1,4622723,8.25,0,0,765092,7.26,-0.99,,BACOVA 032118 (10) N
Bacova Guild,43179,765095-2,4622724,12.25,0,0,765095,10.78,-1.47,,BACOVA 032118 (10) N
Bacova Guild,43179,765146-2,4622725,19.5,0,0,765146,17.16,-2.34,,BACOVA 032118 (10) N
Bacova Guild,43179,765580-2,4622727,58.15,0,0,765580,51.18,-6.97,,BACOVA 032118 (10) N
Bacova Guild,43179,765748-1,4622728,13.65,0,0,765748,12.01,-1.64,,BACOVA 032118 (10) N
Bacova Guild,43179,766017-2,4622729,13.3,0,0,766017,11.71,-1.59,,BACOVA 032118 (10) N
Bacova Guild,43179,766078-2,4622730,31.85,0,0,766078,28.04,-3.81,,BACOVA 032118 (10) N
Bacova Guild,43179,766203-2,4622731,42.8,0,0,766203,37.68,-5.12,,BACOVA 032118 (10) N
Bacova Guild,43179,766297-1,4622732,11.7,0,0,766297,10.3,-1.4,,BACOVA 032118 (10) N
Bacova Guild,43181,766488-1,4624083,7,0,0,766488,6.16,-0.84,,BACOVA 032318 (12)N
Bacova Guild,43181,766556-1,4624084,93.9,0,0,766556,82.62,-11.28,,BACOVA 032318 (12)N
Bacova Guild,43181,766584-2,4624085,12.5,0,0,766584,11,-1.5,,BACOVA 032318 (12)N
Bacova Guild,43181,766645-2,4624086,7.75,0,0,766645,6.82,-0.93,,BACOVA 032318 (12)N
Bacova Guild,43181,766655-3,4624087,14.15,0,0,766655,12.45,-1.7,,BACOVA 032318 (12)N
Bacova Guild,43181,766719-2,4624088,20.5,0,0,766719,19.14,-1.36,,BACOVA 032318 (12)N
Bacova Guild,43181,766860-2,4624089,12.75,0,0,766860,11.22,-1.53,,BACOVA 032318 (12)N
Bacova Guild,43181,766863-1,4624090,15.5,0,0,766863,16.06,0.56,,BACOVA 032318 (12)N
Bacova Guild,43181,766971-1,4624091,11.7,0,0,766971,10.3,-1.4,,BACOVA 032318 (12)N
Crestview Collection,43180,751614-1,302472,129.9,0,0,751614,136,,REVISED ,CRESTVIEW 032118 (2) N
Fireside Lodge,43087,710762-1,69254,947.15,0,357.15,710762,578.2,-244.7,PO MISMATCH,FIRESIDE 121917
Fireside Lodge,43180,710762-1,70253,232.9,0,0,710762,578.2,-244.7,PO MISMATCH,FIRESDIE 032118 70253N
Fireside Lodge,43179,730334-4,70183,60,0,0,730334,117.6,57.6,,FIRESIDE 032118 70183N
Fireside Lodge,43175,751365-3,70197,85,0,0,751365,83.3,-1.7,,FIRESIDE 031918 70197N
Fireside Lodge,43181,752450-1,70240,200,0,0,752450,196,-4,,FIRESIDE 032218 70240N
Fireside Lodge,43175,752799-2,70199,45,0,0,752799,44.1,-0.9,,FIRESIDE 031918 70199N
Fireside Lodge,43179,753637-1,70217,35,0,0,753637,34.3,-0.7,,FIRESIDE 032118 70217N
Fireside Lodge,43179,755707-2,70216,35,0,0,755707,34.3,-0.7,,FIRESIDE 032118 70216N
Fireside Lodge,43175,756479-5,70203,90,0,0,756479,88.2,-1.8,,FIRESIDE 031918 70203N
Fireside Lodge,43180,757479-3,70204,100,0,0,757479,98,-2,,FIRESIDE 032218 70204N
Fireside Lodge,43178,766305-1,70221,60,0,0,766305,58.8,-1.2,,FIRESIDE 032118 70221N
"J.L.T. Studios, LLC",43165,757732-1,6852,167,0,18,757732,430,,DUPLICATE,JLT 032318 6852N
"J.L.T. Studios, LLC",43174,760943-1,6857,513,18,0,760943,495,,DUPLICATE,JLT 032218 6857N
"KAS Oriental Rugs, Inc.",43171,762948-1,683966,23.75,0,0,762948,23.75,-11.88,PO MISMATCH,KAS 031218 683966 (4) N
"KAS Oriental Rugs, Inc.",43178,762948-1R,685684,11.88,0,0,762948,23.75,-11.88,PO MISMATCH,KAS 031918 685684N
Lorec Ranch Wholesale,43054,689954-3,576,374.15,0,0,689954,1099.99,725.84,PO MISMATCH,LOREC 032118 576N
"Michaelian Home, Inc.",43179,766527-1,54452,47,8,0,766527,30,-9,PO MISMATCH,MICHAELIAN 032118 54452N
Mohawk Factoring LLC,43171,762717-2,8374594,24.65,0,0,762717,22.1,-2.55,PO MISMATCH,MOHAWK 031918 (2) N
Mohawk Factoring LLC,43172,764398-2,8380659,24.65,0,0,764398,22.1,-2.55,PO MISMATCH,MOHAWK 031918 (2) N
SOLSTICE ARTS,43179,766573-3,81679,75,5,0,766573,65,-5,PO MISMATCH,SOLSTICE ARTS 032118 81679N
UTAH MOUNTAIN FURNITURE,43165,749454-1,2567,655.05,0,341.05,749454,314,-80,PO MISMATCH,UTAH MTN 030818 2567N
UTAH MOUNTAIN FURNITURE,43174,749454-1,2580,80,0,0,749454,314,-80,PO MISMATCH,UTAH MTN 031918 2580N
West of the Wind Designs,43179,767595-2,94687,95,0,0,767595,90,-5,PO MISMATCH,WEST OF THE WIND 032118 94687N
WILD WINGS,43174,761350-1,343881,58.5,0,0,761350,55.58,-2.92,PO MISMATCH,WILD WINGS 031918 (7)N
WILD WINGS,43173,764416-1,343814,71.5,5,0,764416,38,-28.5,PO MISMATCH,WILD WINGS 031918 (7)N
WILD WINGS,43174,765402-2,343907,71.5,5,0,765402,38,-28.5,PO MISMATCH,WILD WINGS 031918 (7)N
