Vendor Name,Invoice  Date,PO Num,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
BEL AIR LIGHTING,43179,765795-3,2038577,129,0,0,765795,119,-10,PO MISMATCH,TRANS GLOBE BEL AIRE 032118 2038577C
BEL AIR LIGHTING,43180,767437-1,2039767,129,0,0,767437,119,-10,PO MISMATCH,TRANS GLOBE BEL AIRE 032118 2039767C
BEL AIR LIGHTING,43186,768953-1,2042880,79,0,0,768953,69,-10,PO MISMATCH,TRANS GLOBE 032818 2042880C
BEL AIR LIGHTING,43188,770859-1,2045064,129,0,0,770859,119,-10,PO MISMATCH,TRANS GLOBE BEL AIR 033018 2045064C
CAPITOL IMPORTING,43186,764365-3,169180,53,3,0,764365,46.5,-3.5,PO MISMATCH,CAPITOL.EARTH RUGS 032918 169180C
CAPITOL IMPORTING,43186,764775-2,169176,53,3,0,764775,46.5,-3.5,PO MISMATCH,CAPITOL.EARTH RUGS 032918 169176C
CAPITOL IMPORTING,43187,768407-1,169231,111,3,0,768407,100,-8,PO MISMATCH,CAPITOL EARTH RUGS 032918 169231C
Celebration Tablecloths,43066,715963-4,1143,21.98,0,0,715963,19.98,-2,PO MISMATCH,CELEBRATION TABLECLOTHS 033018 (3) C
Celebration Tablecloths,43075,722727-2,1149,21.98,0,0,722727,19.98,-2,PO MISMATCH,CELEBRATION TABLECLOTHS 033018 (3) C
Celebration Tablecloths,43188,770531-3,1178,44.98,0,0,770531,40.98,-4,PO MISMATCH,CELEBRATION TABLECLOTHS 032918 770531-3C
CHANDLER 4 CORNERS,43186,770091-1,238523,44,10,0,770091,30.6,-3.4,PO MISMATCH,CHANDLER 032718 238523C
CHANDLER 4 CORNERS,43188,770933-3,238568,27.1,10,0,770933,15.39,-1.71,PO MISMATCH,CHANDLER 032918 238568C
HERITAGE LACE,43180,766936-1,1262530,16.8,0,0,766936,16.24,-0.56,PO MISMATCH,HERITAGE LACE 032618 (2) C
IRONWOOD INDUSTRIES,43181,757479-2,27638,25,0,0,757479,24,-1,PO MISMATCH,IRONWOOD 032618 PMT RECPT 27638C
IRONWOOD INDUSTRIES,43181,757896-2,27635,50,0,0,757896,48,-2,PO MISMATCH,IRONWOOD 032618 PMT RECPT 27635C
IRONWOOD INDUSTRIES,43181,757976-1,27633,60,0,0,757976,59,-1,PO MISMATCH,IRONWOOD 032618 PMT RECPT 27633C
IRONWOOD INDUSTRIES,43181,759041-1,27648,167,0,0,759041,163,-4,PO MISMATCH,IRONWOOD 032618 PMT RECPT 27648C
"Kalalou, Inc.",43185,768435-1,654796,185.1,6,0,768435,170.1,-9,PO MISMATCH,KALALOU 032718 654796C
"Kalalou, Inc.",43187,770141-2,655675,64.5,6,0,770141,53.1,-5.4,PO MISMATCH,KALALOU 032918 655675C
RIGHTSIDE DESIGN,43181,767915-1,28070152,85.32,15.32,0,767915,60,-10,PO MISMATCH,RIGHTSIDE DESIGN 032218 28070152C
S.P.I.,43181,754625-2,626272,72,0,0,754625,70,-2,PO MISMATCH,SPI 032318 626272C
Sierra Lifestyles,43178,766755-3,32943,18,0,0,766755,17.74,-0.26,PO MISMATCH,SIERRA 032118 PMT RECPT 32943C
Sierra Lifestyles,43181,767547-1,32970,18,0,0,767547,17.74,-0.26,PO MISMATCH,SIERRA 032318 PMT RECPT 32970C
Sierra Lifestyles,43181,767998-2,32988,27,0,0,767998,26.61,-0.39,PO MISMATCH,SIERRA 032318 PMT RECPT 32988C
Sierra Lifestyles,43178,766428-1,32940,6.5,0,0,766428,6.4,-0.1,,SIERRA 032118 PMT RECPT 32940C
Sierra Lifestyles,43181,766981-2,32984,13,0,0,766981,12.8,-0.2,,SIERRA 032318 PMT RECPT 32984C
Sierra Lifestyles,43178,767105-3,32953,13,0,0,767105,12.8,-0.2,,SIERRA 032118 PMT RECPT 32953C
VAGABOND GROUP,43140,699886-1,326447,34.5,5,0,,,,NOT ON DROP SHIP REPORT,VAGABOND HOUSE 021518 326447 CC
VAGABOND GROUP,43146,704229-1,327233,32,2.5,0,,,,NOT ON DROP SHIP REPORT,VAGABOND HOUSE 021618 327233 CC
VAGABOND GROUP,43140,705903-1,316401,34.5,5,0,,,,NOT ON DROP SHIP REPORT,VAGABOND HOUSE 021518 316401 CC
VAGABOND GROUP,43140,713995-1,318160,29.5,0,0,,,,NOT ON DROP SHIP REPORT,VAGABOND HOUSE 021518 318160 CC
VAGABOND GROUP,43145,714750-1,327064,241,5,0,,,,NOT ON DROP SHIP REPORT,VAGABOND HOUSE 021518 327064 CC
VAGABOND GROUP,43140,715552-1,326448,34.5,5,0,,,,NOT ON DROP SHIP REPORT,VAGABOND HOUSE 021518 326448 CC
VAGABOND GROUP,43140,715739-1,326444,34.5,5,0,,,,NOT ON DROP SHIP REPORT,VAGABOND HOUSE 021518 326444 CC
VAGABOND GROUP,43145,728607-1,327065,34.5,5,0,,,,NOT ON DROP SHIP REPORT,VAGABOND HOUSE 021518 327065 CC
VAGABOND GROUP,43145,731400-2,322879,106,0,0,,,,NOT ON DROP SHIP REPORT,VAGABOND HOUSE 021518 322879 CC
VAGABOND GROUP,43145,734779-1,323463,19.5,0,0,,,,NOT ON DROP SHIP REPORT,VAGABOND HOUSE 021518 323463 CC
VAGABOND GROUP,43140,735458-2,326441,34.5,5,0,,,,NOT ON DROP SHIP REPORT,VAGABOND HOUSE 021518 326441 CC
VAGABOND GROUP,43145,746401-2,325882,67.5,0,0,,,,NOT ON DROP SHIP REPORT,VAGABOND HOUSE 021518 325882 CC
VAGABOND GROUP,43140,747313-1,326442,34.5,5,0,,,,NOT ON DROP SHIP REPORT,VAGABOND HOUSE 021518 326442 CC.
VAGABOND GROUP,43140,750544-1,326452,29.5,0,0,,,,NOT ON DROP SHIP REPORT,VAGABOND HOUSE 021518 326452 CC
VAGABOND GROUP,43139,751274-1,326619,40,5,0,,,,NOT ON DROP SHIP REPORT,VAGABOND HOUSE 021518 326619 CC
VAGABOND GROUP,43145,753145-6,326937,37.5,5,0,,,,NOT ON DROP SHIP REPORT,VAGABOND HOUSE 021518 326937 CC
VAGABOND GROUP,43146,753966-4,327248,79,5,0,,,,NOT ON DROP SHIP REPORT,VAGABOND 021618 327248 CC
