Vendor Name,Invoice  Date,PO Num,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
BUCK SNORT,43194,772340-2,38667,26.55,3,6.95,772340,16.2,-0.4,PO MISMATCH,BUCK SNORT 040518 PMT RECPT (5) C
C AND F ENTERPRISES,43173,765328-1,583038,30,6,0,765328,23.5,-0.5,PO MISMATCH,C&F 031518 582773C
DEMDACO 0000        LEAWOOD,43193,764338-2,21902470,95,0,0,764338,88.5,-6.5,PO MISMATCH,DEMDACO 040418 21902489C (14)
IRONWOOD INDUSTRIES,43192,759088-5,27665,56,0,0,759088,55,-1,PO MISMATCH,IRONWOOD 040318 PMT RECPT 27665C
IRONWOOD INDUSTRIES,43192,759537-1,27664,152,0,0,759537,148,-4,PO MISMATCH,IRONWOOD 040318 PMT RECPT 27664C
IRONWOOD INDUSTRIES,43193,761085-2,27693,92,0,0,761085,90,-2,PO MISMATCH,IRONWOOD 040418 PMT RECPT 27693C
IRONWOOD INDUSTRIES,43192,761501-1,27663,76,0,0,761501,74,-2,PO MISMATCH,IRONWOOD 040318 PMT RECPT 27663C
IRONWOOD INDUSTRIES,43192,761512-1,27687,182,0,0,761512,179,-3,PO MISMATCH,IRONWOOD 040318 PMT RECPT 27687C
IRONWOOD INDUSTRIES,43192,761558-2,27660,27,0,0,761558,23,-4,PO MISMATCH,IRONWOOD 040318 PMT RECPT 27660C
IRONWOOD INDUSTRIES,43193,761685-1,27691,139,0,0,761685,137,-2,PO MISMATCH,IRONWOOD 040418 PMT RECPT 27691C
IRONWOOD INDUSTRIES,43192,761806-3,27661,54,0,0,761806,53,-1,PO MISMATCH,IRONWOOD 040318 PMT RECPT 27661C
IRONWOOD INDUSTRIES,43192,761976-1,27681,54,0,0,761976,53,-1,PO MISMATCH,IRONWOOD 040318 PMT RECPT 27681C
IRONWOOD INDUSTRIES,43193,762296-2,27700,207,0,0,762296,205,-2,PO MISMATCH,IRONWOOD 040418 PMT RECPT 27700C
S.P.I.,43195,754625-4,626858,72,0,0,754625,140,-4,PO MISMATCH,SPI 040618 626858N
S.P.I.,43181,754625-2,626272,72,0,0,754625,140,-4,PO MISMATCH,SPI 032318 626272C
S.P.I.,43192,772741-2,626720,130,0,0,772741,117,-13,PO MISMATCH,SPI 040318 626720C
Sierra Lifestyles,43194,760024-1,33128,50.5,0,0,760024,49.74,-0.76,PO MISMATCH,SIERRA 040518 PMT RECPT 33128C
Sierra Lifestyles,43194,767098-2,33106,31,0,0,767098,30.54,-0.46,PO MISMATCH,SIERRA 040518 PMT RECPT 33106C
Sierra Lifestyles,43194,771395-1,33052,13,0,0,771395,12.8,-0.2,PO MISMATCH,SIERRA 040518 PMT RECPT 33052C
Sierra Lifestyles,43194,771701-2,33105,319.5,0,0,771701,314.72,-4.78,PO MISMATCH,SIERRA 040518 PMT RECPT 33105C
Sierra Lifestyles,43194,772935-2,33104,52,0,0,772935,51.2,-0.8,PO MISMATCH,SIERRA 040518 PMT RECPT 33104C
Sierra Lifestyles,43194,769241-2,33028,11,0,0,769241,10.84,-0.16,,SIERRA 040518 PMT RECPT 33028C
Sierra Lifestyles,43194,769494-2,33126,10.5,0,0,769494,10.34,-0.16,,SIERRA 040518 PMT RECPT 33126C
Sierra Lifestyles,43194,770741-2,33059,9,0,0,770741,8.87,-0.13,,SIERRA 040518 PMT RECPT 33059C
Sierra Lifestyles,43194,770797-2,33043,6.5,0,0,770797,6.4,-0.1,,SIERRA 040518 PMT RECPT 33043C
Sierra Lifestyles,43194,771487-3,33053,9,0,0,771487,8.87,-0.13,,SIERRA 040518 PMT RECPT 33053C
SKYHAWK,43190,772202-3,772202-3,101,0,0,772202,99,-2,PO MISMATCH,SKYHAWK 040318 772202-3C
SKYHAWK,43191,772448-2,772448-2,101,0,0,772448,99,-2,PO MISMATCH,SKYHAWK 040218 772448-2C
VAXCEL,43153,756255-1,800647,215.3,2.5,0,756255,278.35,-5.7,PO MISMATCH,VAXCEL PMT RECPT 022318 11396.28
VAXCEL,43168,756255-3,804663,73.75,2.5,0,756255,278.35,-5.7,PO MISMATCH,VAXCEL 031218 PMT RECPT 2354.33C
VAXCEL,43164,759888-1,803063,107,2.5,0,759888,101.64,-2.86,PO MISMATCH,VAXCEL 030618 PMT RECPT 1514.00C
VAXCEL,43164,759896-2,803062,129.8,2.5,0,759896,125.4,-1.9,PO MISMATCH,VAXCEL 030618 PMT RECPT 1514.00C
VAXCEL,43164,759946-2,803070,297,2.5,0,759946,288.8,-5.7,PO MISMATCH,VAXCEL 030618 PMT RECPT 1514.00C
VAXCEL,43164,760040-1,803118,73.75,2.5,0,760040,68.4,-2.85,PO MISMATCH,VAXCEL 030618 PMT RECPT 1514.00C
VAXCEL,43164,760065-3,803122,236.2,2.5,0,760065,230.85,-2.85,PO MISMATCH,VAXCEL 030618 PMT RECPT 1514.00C
VAXCEL,43164,760109-1,803045,126,2.5,0,760109,119.22,-4.28,PO MISMATCH,VAXCEL 030618 PMT RECPT 1514.00C
VAXCEL,43166,760310-1,803809,249.5,2.5,0,760310,246.05,-0.95,PO MISMATCH,VAXCEL PMT RECPT 030818 3441.80C
VAXCEL,43166,760545-1,803832,134.55,2.5,0,760545,125.4,-6.65,PO MISMATCH,VAXCEL PMT RECPT 030818 3441.80C
VAXCEL,43166,760581-1,803855,91.8,2.5,0,760581,88.35,-0.95,PO MISMATCH,VAXCEL PMT RECPT 030818 3441.80C
VAXCEL,43167,760732-1,804164,164,2.5,0,760732,160.55,-0.95,PO MISMATCH,VAXCEL 030918 PMT RECPT 2988.51C
VAXCEL,43166,760850-2,803813,107,2.5,0,760850,101.65,-2.85,PO MISMATCH,VAXCEL PMT RECPT 030818 3441.80C
VAXCEL,43166,760851-1,803864,71.85,2.5,0,760851,66.5,-2.85,PO MISMATCH,VAXCEL PMT RECPT 030818 3441.80C
VAXCEL,43166,760896-1,803882,73.75,2.5,0,760896,68.4,-2.85,PO MISMATCH,VAXCEL PMT RECPT 030818 3441.80C
VAXCEL,43166,760913-1,803851,110.8,2.5,0,760913,107.35,-0.95,PO MISMATCH,VAXCEL PMT RECPT 030818 3441.80C
VAXCEL,43166,761012-1,803810,107,2.5,0,761012,101.64,-2.86,PO MISMATCH,VAXCEL PMT RECPT 030818 3441.80C
VAXCEL,43166,761058-2,803857,69.95,2.5,0,761058,66.03,-1.42,PO MISMATCH,VAXCEL PMT RECPT 030818 3441.80C
VAXCEL,43166,761144-1,803858,73.75,2.5,0,761144,70.3,-0.95,PO MISMATCH,VAXCEL PMT RECPT 030818 3441.80C
VAXCEL,43167,761157-1,804304,73.75,2.5,0,761157,68.4,-2.85,PO MISMATCH,VAXCEL 030918 PMT RECPT 2988.51C
VAXCEL,43166,761217-1,803850,69.95,2.5,0,761217,66.03,-1.42,PO MISMATCH,VAXCEL PMT RECPT 030818 3441.80C
VAXCEL,43167,761301-1,804306,91.8,2.5,0,761301,88.35,-0.95,PO MISMATCH,VAXCEL 030918 PMT RECPT 2988.51C
VAXCEL,43167,761323-1,804163,136.69,2.5,0,761323,132.77,-1.42,PO MISMATCH,VAXCEL 030918 PMT RECPT 2988.51C
VAXCEL,43166,761330-1,804110,145,2.5,0,761330,136.8,-5.7,PO MISMATCH,VAXCEL PMT RECPT 030818 3441.80C
VAXCEL,43166,761346-1,804085,428.1,2.5,0,761346,418,-7.6,PO MISMATCH,VAXCEL PMT RECPT 030818 3441.80C
