Vendor Name,Invoice  Date,PO Num,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
Artisans Gallery,43196,760404-1,760404-1,81.9,13.65,0,760404,59,-9.25,PO MISMATCH,ARTISANS GALLERY 040618 760404-1N
Artisans Gallery,43196,764252-1,764252-1,78.25,10,0,764252,59,-9.25,PO MISMATCH,ARTISANS GALLERY 040618 764252-1N
Artisans Gallery,43195,771902-1,771902-1,23.5,2,0,771902,21.5,-75,PO MISMATCH,ARTISANS GALLERY 040618 771902-1N
Artisans Gallery,43195,771902-2,771902-2,79,4,0,771902,21.5,-75,PO MISMATCH,ARTISANS GALLERY 040618 771902-2N
"EXPO DECOR, LLC",43188,768896-1,79348,54,5,0,768896,48,-1,PO MISMATCH,EXP0 040618 (3)N
Kimlor,43186,769995-1,850332,36.45,6.95,0,769995,29,-0.5,PO MISMATCH,KIMLOR 040618 (42)N
"Michaelian Home, Inc.",43193,771648-1,54555,107,8,0,771648,89,-10,PO MISMATCH,MICHAELIAN HOMES 040418 54555N
"Michaelian Home, Inc.",43195,772202-2,54579,47,8,0,772202,30,-9,PO MISMATCH,MICHAELIAN HOME 040618 54579N
"Michaelian Home, Inc.",43195,772228-2,54578,268,8,0,772228,250,-10,PO MISMATCH,MICHAELIAN HOME 040618 54578N
West of the Wind Designs,43192,772136-1,94775,95,0,0,772136,90,-5,PO MISMATCH,WEST OF THE WIND 040218 94775N
WGI Gallery,43194,769882-2,176979,29,3,0,769882,25.72,-0.28,PO MISMATCH,WGI 040518 176979N
WGI Gallery,43195,770076-2,176993,60,3,0,770076,55.84,-1.16,PO MISMATCH,WGI 040618 176993N
WILD WINGS,43185,767529-1,344456,40,5,0,767529,28.5,-6.5,PO MISMATCH,WILD WINGS 040618 (10)N
WILD WINGS,43186,769640-1,344574,99.99,5,0,769640,47.5,-47.49,PO MISMATCH,WILD WINGS 040618 (10)N
