Vendor Name,Invoice  Date,PO Num,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
CARSTENS INC,43242,783731-2,227485,39,3,0,783731,30,-6, PO MISMATCH ,CARSTENS 052318 PMT RECPT 872.50C
COLORADO DALLAS LLC,43241,776370-1,19360,98.2,5,0,776370,92.15,-1.05, PO MISMATCH ,COLORADO DALLAS 052218 19360C
IRONWOOD INDUSTRIES,43238,776782-1,27886,60,0,0,776782,59,-1, PO MISMATCH ,IRONWOOD 051818 PMT RECPT 1687.00 27886C
IRONWOOD INDUSTRIES,43238,778696-1,27890,315,0,0,778696,309,-6, PO MISMATCH ,IRONWOOD 051818 PMT RECPT 1687.00 27890C
IRONWOOD INDUSTRIES,43238,779017-2,27891,60,0,0,779017,59,-1, PO MISMATCH ,IRONWOOD 051818 PMT RECPT 1687.00 27891C
IRONWOOD INDUSTRIES,43238,779141-2,27885,185,0,0,779141,183,-2, PO MISMATCH ,IRONWOOD 051818 PMT RECPT 1687.00 27885C
IRONWOOD INDUSTRIES,43244,780748-2,27908,112,0,0,780748,110,-2, PO MISMATCH ,IRONWOOD 052518 PMT RECPT 1251.00 27908C
IRONWOOD INDUSTRIES,43244,780834-2,27927,120,0,0,780834,118,-2, PO MISMATCH ,IRONWOOD 052518 PMT RECPT 1251.00 27927C
"Kalalou, Inc.",43240,789213-2,666355,34.8,6,0,789213,26.1,-2.7, PO MISMATCH ,KALALOU 052118 666355C
"Kalalou, Inc.",43240,789522-1,666299,44.4,6,0,789522,32.4,-6, PO MISMATCH ,KALALOU 052118 666299C
Montana Woodworks,43243,788704-1,36572,1776.14,0,521.14,788704,1205,-50, PO MISMATCH ,MONTANA WOODWORKS 052418 36572C
Pure Country,43243,789797-1,894979,56,6,0,789797,45,-5, PO MISMATCH ,PURE CO 052418 894979C
Pure Country,43243,790473-1,894980,56,6,0,790473,45,-5, PO MISMATCH ,PURE CO 052418 894979C
Pure Country,43243,791087-1,895193,30.8,6,0,791087,22.5,-2.3, PO MISMATCH ,PURE CO 052318 895193C
S.P.I.,43241,790303-1,628881,60.9,0,0,790303,48.6,-7.4, PO MISMATCH ,SPI 052218 628881C
Sierra Lifestyles,43243,789716-1,33598,25.5,0,0,789716,25.11,-0.39, PO MISMATCH ,SIERRA 052418 PMT RECPT 2025.16 33598C
Sierra Lifestyles,43243,789965-2,33573,36,0,0,789965,35.48,-0.52, PO MISMATCH ,SIERRA 052418 PMT RECPT 2025.16 33573C
Sierra Lifestyles,43243,790456-2,33582,45.5,0,0,790456,44.8,-0.7, PO MISMATCH ,SIERRA 052418 PMT RECPT 2025.16 33582C
