Vendor Name,Invoice  Date,PO Num,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
Always Azul Pottery,43238,786994-1,18496,127,2,0,786994,120,-5,PO MISMATCH,ALWAYS AZUL 052118 18496N
Artisans Gallery,43238,777705-1,777705-1,80.45,8,0,777705,72,-0.45,PO MISMATCH,ARTISANS GALLERY 052118 777705-1N
Artisans Gallery,43238,777746-1,777746-1,80.45,8,0,777746,72,-0.45,PO MISMATCH,ARTISANS GALLERY 052118 777746-1N
Artisans Gallery,43241,779722-2,779722-2,80.45,8,0,779722,72,-0.45,PO MISMATCH,ARTISANS GALLERY 052118 779722-2N
Artisans Gallery,43241,785035-1,785035-1,80.45,8,0,785035,72,-0.45,PO MISMATCH,ARTISANS GALLERY 052118 785035-1N
Artisans Gallery,43241,785185-1,785185-1,80.45,8,0,785185,72,-0.45,PO MISMATCH,ARTISANS GALLERY 052118 785185-1N
Artisans Gallery,43243,789250-1,789250-1,80.45,8,0,789250,72,-0.45,PO MISMATCH,ARTISANS GALLERY 052518 789250-1N
Designers Fountain,43235,788571-1,92947063,234,5,0,788571,219,-10,PO MISMATCH,DESIGNERS FTN 052218 (5)N
Designers Fountain,43237,789084-2,92947872,69.95,5,0,789084,63.75,-1.2,PO MISMATCH,DESIGNERS FTN 052218 (5)N
"EXPO DECOR, LLC",43237,788803-1,79518,44,5,0,788803,35.1,-3.9,PO MISMATCH,EXPO 052218 79518N
Greenbox Art,43228,782781-2,156648,99.5,5,0,782781,85.05,-9.45,PO MISMATCH,GREENBOX 052218 (2)N
Kimlor,43222,764265-1,853860,67.95,6.95,0,764265,61,-43,REVISED,KIMLOR 050918 (22)N
Kimlor,43234,764265-1,854777,43,0,0,764265,61,-43,REVISED,KIMLOR 052218 (69)N
Lorec Ranch Wholesale,43241,786493-1,718,129.98,10,0,786493,103.98,-16,PO MISMATCH,LOREC 052118 718N
Lorec Ranch Wholesale,43238,787638-1,716,109.98,10,0,787638,85.98,-14,PO MISMATCH,LOREC 052118 716N
Lorec Ranch Wholesale,43238,787990-2,715,89.98,10,0,787990,69.98,-10,PO MISMATCH,LOREC 052118 715N
Lorec Ranch Wholesale,43242,791171-3,719,79.99,10,0,791171,56.99,-13,PO MISMATCH,LOREC 052218 719N
Mohawk Factoring LLC,43234,787607-3,8617669,24.65,0,0,787607,22.1,-2.55,PO MISMATCH,MOHAWK 052218 (3)N
WOODED RIVER,43242,789559-1,124124,476.28,0,0,789559,442.26,-34.02,PO MISMATCH,WOODED RIVER 052218 124124N
