Vendor Name,Invoice  Date,PO Num,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
BUCK SNORT,43182,766755-2,38567,45.75,3,7.25,766755,28.4,-7.1,PO MISMATCH,BUCK SNORT 052918 101.55 499.85C
Ditz Designs,43244,791787-1,12676,93,8,0,791787,84,-1,PO MISMATCH,DITZ 052918 (2) C
DONNA SHARP,43249,792758-1,425402,138.5,0,0,792758,137.7,-0.8,PO MISMATCH,DONNA SHARP 052918 425402C
DONNA SHARP,43250,793765-2,425449,125,0,0,793765,124.2,-0.8,PO MISMATCH,DONNA SHARP 053018 425449C
DONNA SHARP,43251,794339-1,425567,44,0,0,794339,43.2,-0.8,PO MISMATCH,DONNA SHARP 053118 425567C
Pure Country,43245,790733-2,895876,81.2,6,0,790733,70.2,-5,PO MISMATCH,PURE CO 052518 895876C
Pure Country,43249,792500-1,896202,21.8,6,0,792500,14.4,-1.4,PO MISMATCH,PURE CO 052918 896202C
S.P.I.,43250,760098-1,629330,75,0,0,760098,72,-3,PO MISMATCH,SPI 053118 629330C
S.P.I.,43250,783969-2,629291,75,0,0,783969,72,-3,PO MISMATCH,SPI 053118 629291C
Sierra Lifestyles,43246,787663-3,33644,31,0,0,787663,30.54,-0.46,PO MISMATCH,SIERRA 052918 PMT RECPT 38.91 33644C
VAXCEL,43243,790196-1,825097,77.5,2.5,0,790196,68.4,-6.6,PO MISMATCH,VAXCEL 052918 PMT RECPT 2252.87C
VAXCEL,43243,790209-1,825096,60.5,2.5,0,790209,54.15,-3.85,PO MISMATCH,VAXCEL 052918 PMT RECPT 2252.87C
VAXCEL,43244,790362-1,825444,82.2,2.5,0,790362,75.53,-4.17,PO MISMATCH,VAXCEL 052918 PMT RECPT 1374.87C
VAXCEL,43243,790452-3,825076,56.66,2.5,0,790452,53.2,-0.96,PO MISMATCH,VAXCEL 052918 PMT RECPT 2252.87C
VAXCEL,43245,791391-1,825721,67,2.5,0,791391,59.85,-4.65,PO MISMATCH,VAXCEL 052918 PMT RECPT 3796.15C
VAXCEL,43222,783363-2,819302,68.05,2.5,0,783363,65.55,65.55,PO MISMATCH ,VAXCEL 050218 PMT RECPT 1849.04C
