Vendor Name,Invoice  Date,PO Num,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
C AND F ENTERPRISES,43362,809013-1,635803,156,6,0,809013,128.26,-21.74,PO MISMATCH,7542678-20180921180002
C AND F ENTERPRISES,43362,809167-2,635799,216,6,0,809167,189,-21,PO MISMATCH,7542675-20180921180002
C AND F ENTERPRISES,43362,809220-2,635796,31,6,0,809220,22.5,-2.5,PO MISMATCH,7542672-20180921180002
C AND F ENTERPRISES,43362,809603-1,635795,12.5,6,0,809603,6,-0.5,PO MISMATCH,7542671-20180921180002
C AND F ENTERPRISES,43362,809806-1,635797,76,6,0,809806,63,-7,PO MISMATCH,7542673-20180921180002
C AND F ENTERPRISES,43362,809871-1,635802,66,6,0,809871,54,-6,PO MISMATCH,7542677-20180921180002
C AND F ENTERPRISES,43362,809890-2,635801,76,6,0,809890,59.85,-10.15,PO MISMATCH,7542676-20180921180002
C AND F ENTERPRISES,43362,809944-1,635798,88.95,6,0,809944,70.92,-12.03,PO MISMATCH,7542674-20180921180002
C AND F ENTERPRISES,43362,810125-1,635792,12.5,6,0,810125,5.85,-0.65,PO MISMATCH,7542669-20180921180002
C AND F ENTERPRISES,43348,832954-1,630575,102,3,0,832954,99,-31.5,PO MISMATCH,7509675-20180907180003
C AND F ENTERPRISES,43361,832954-1,635481,31.5,0,0,832954,99,-31.5,PO MISMATCH,7539806-20180921180002
C AND F ENTERPRISES,43357,837675-1,634273,23.66,3,0,837675,19.62,-1.04,PO MISMATCH,7533251-20180918180002
C AND F ENTERPRISES,43361,838421-2,635253,57,3,0,838421,51.3,-2.7,PO MISMATCH,7539798-20180921180002
C AND F ENTERPRISES,43361,838605-2,635257,66,3,0,838605,59.85,-3.15,PO MISMATCH,7539801-20180921180002
C AND F ENTERPRISES,43362,839034-2,636013,102.41,3,0,839034,94.45,-4.96,PO MISMATCH,7542685-20180921180002
C AND F ENTERPRISES,43362,839268-1,635783,57,3,0,839268,51.3,-2.7,PO MISMATCH,7542692-20180921180002
C AND F ENTERPRISES,43363,839378-2,636167,57,3,0,839378,51.3,-2.7,PO MISMATCH,7545111-20180921180002
IMAX CORPORATION,43361,837813-1,1601277,58.51,0,0,837813,55.66,-2.85,PO MISMATCH,7536995-20180921180002
Pure Country,43332,820877-1,917916,69.5,6,0,820877,57.6,-5.9,PO MISMATCH,7479512-20180828180004
Pure Country,43357,835439-2,924869,19.1,6,0,835439,12.6,-0.5,PO MISMATCH,7533190-20180921180002
Pure Country,43357,835536-2,924871,32.6,6,0,835536,25.2,-1.4,PO MISMATCH,7533189-20180921180002
Pure Country,43357,835837-2,924872,19.1,6,0,835837,12.6,-0.5,PO MISMATCH,7533191-20180921180002
Pure Country,43360,836401-3,925114,19.1,6,0,836401,12.6,-0.5,PO MISMATCH,7536690-20180921180002
Pure Country,43357,836746-2,924870,19.1,6,0,836746,12.6,-0.5,PO MISMATCH,7533192-20180921180002
Pure Country,43360,837188-2,925088,30.8,6,0,837188,22.5,-2.3,PO MISMATCH,7533634-20180921180002
Pure Country,43361,837856-1,925380,30.8,6,0,837856,22.5,-2.3,PO MISMATCH,7539661-20180921180002
S.P.I.,43361,831857-1,634562,185,0,0,831857,180,-5,PO MISMATCH,7539813-20180921180002
S.P.I.,43363,839786-1,634662,48,0,0,839786,0,-48,PO MISMATCH,7545121-20180921180002
VAXCEL,43355,833675-2,855800,103.55,0,0,833675,101.65,-1.9,PO MISMATCH,7533148-20180918180002
VAXCEL,43355,835922-1,855629,382.82,0,0,835922,380.98,-1.84,PO MISMATCH,7533178-20180918180002
VAXCEL,43357,836898-1,856440,481.21,0,0,836898,480.19,-1.02,PO MISMATCH,7539765-20180921180002
VAXCEL,43357,837292-2,856466,247,0,0,837292,243.2,-3.8,PO MISMATCH,7539758-20180921180002
VAXCEL,43357,837323-1,856467,89.3,0,0,837323,88.35,-0.95,PO MISMATCH,7539757-20180921180002
