Vendor Name,Invoice  Date,PO Num,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
C AND F ENTERPRISES,43417,861725-1,658766,189.3,3,0,861725,218.7,-3.6,PO MISMATCH,C&F 11 13 18 I
Carroll Companies,43433,861293-1,357538,3195,25,0,861293,3060,-110,PO MISMATCH,7726975-20181207180007
CARSTENS INC,43434,868426-2,238173,25,3,0,868426,15,-7,PO MISMATCH,7721645-20181207180007
CAST HORN DESIGN,43438,870414-1,21784,502,15,0,870414,432,-55,PO MISMATCH,CAST HORN 120518 21784C
CAST HORN DESIGN,43438,876339-1,21784,502,15,0,876339,432,-55,PO MISMATCH,CAST HORN 120518 21784C
COLORADO DALLAS LLC,43437,857999-1,20025,31.68,0,0,857999,31.35,-0.33,PO MISMATCH,7717225-20181204180008
COLORADO DALLAS LLC,43437,858823-1,20029,27.84,0,0,858823,27.55,-0.29,PO MISMATCH,7717226-20181204180008
COLORADO DALLAS LLC,43437,858982-1,20028,27.84,0,0,858982,27.55,-0.29,PO MISMATCH,7717765-20181207180007
COLORADO DALLAS LLC,43439,859624-1,20042,288,0,0,859624,285,-3,PO MISMATCH,7722168-20181207180007
COLORADO DALLAS LLC,43437,859626-1,20026,39.36,0,0,859626,38.95,-0.41,PO MISMATCH,7717222-20181204180008
COLORADO DALLAS LLC,43437,859674-1,20030,69.12,0,0,859674,68.4,-0.72,PO MISMATCH,7717227-20181204180008
COLORADO DALLAS LLC,43437,860147-1,20031,23.04,0,0,860147,22.8,-0.24,PO MISMATCH,7717229-20181204180008
COLORADO DALLAS LLC,43437,860231-1,20027,27.84,0,0,860231,27.55,-0.29,PO MISMATCH,7717766-20181207180007
COLORADO DALLAS LLC,43439,860347-2,20044,24.96,0,0,860347,24.7,-0.26,PO MISMATCH,7724534-20181207180007
COLORADO DALLAS LLC,43437,860642-1,20024,45.12,0,0,860642,44.65,-0.47,PO MISMATCH,7717223-20181204180008
COLORADO DALLAS LLC,43439,860741-2,20043,49.92,0,0,860741,49.4,-0.52,PO MISMATCH,7724533-20181207180007
COLORADO DALLAS LLC,43439,869774-1,20049,23.04,0,0,869774,22.8,-0.24,PO MISMATCH,7724659-20181207180007
COLORADO DALLAS LLC,43439,873375-3,20047,19.2,0,0,873375,19,-0.2,PO MISMATCH,7724573-20181207180007
COLORADO DALLAS LLC,43439,877144-2,20045,48,0,0,877144,47.5,-0.5,PO MISMATCH,7722180-20181207180007
COLORADO DALLAS LLC,43440,877890-5,20051,28.8,0,0,877890,28.5,-0.3,PO MISMATCH,7726906-20181207180007
DEMDACO 0000        LEAWOOD,43411,859130-1,22033295,93,0,0,859130,90,-3,PO MISMATCH,7717008-20181204180008
DONNA SHARP,43437,874144-1,-446226,194.8,0,0,874144,194.4,-0.4,PO MISMATCH,7717216-20181204180008
DONNA SHARP,43437,875263-1,-446300,211.2,0,0,875263,210.6,-0.6,PO MISMATCH,7717236-20181204180008
EAST OF HOLLYWOOD,43434,873865-2,870,78,8,0,873865,67,-3,PO MISMATCH,7713225-20181207180007
HERITAGE LACE,43299,812546-1,1274094,46.4,2,0,812546,33.3,-11.1,PO MISMATCH,7716925-20181204180008
HERITAGE LACE,43304,813709-2,1274489,67.65,0,0,813709,55.35,-12.3,PO MISMATCH,7716923-20181204180008
HERITAGE LACE,43304,813837-1,1274490,42,0,0,813837,33.75,-8.25,PO MISMATCH,7716927-20181204180008
HERITAGE LACE,43307,815716-1,1274951,47.25,0,0,815716,38.25,-9,PO MISMATCH,7716924-20181204180008
HERITAGE LACE,43411,855529-1,1288773,13.2,0,0,855529,9.9,-3.3,PO MISMATCH,7717031-20181204180008
HERITAGE LACE,43406,857532-2,1288246,19,0,0,857532,17.1,-1.9,PO MISMATCH,7717156-20181204180008
HERITAGE LACE,43410,858980-1,1288439,22.2,0,0,858980,16.65,-5.55,PO MISMATCH,7717080-20181204180008
HERITAGE LACE,43418,862339-1,1289704,24,0,0,862339,18,-6,PO MISMATCH,7716792-20181204180008
HERITAGE LACE,43418,863043-2,1289703,24,0,0,863043,18,-6,PO MISMATCH,7716791-20181204180008
HERITAGE LACE,43418,863102-1,1289702,16.8,0,0,863102,12.6,-4.2,PO MISMATCH,7716790-20181204180008
HERITAGE LACE,43423,864229-1,1290323,50.4,0,0,864229,37.8,-12.6,PO MISMATCH,7716631-20181204180008
HERITAGE LACE,43423,866065-1,1290336,22,0,0,866065,19.8,-2.2,PO MISMATCH,7716632-20181204180008
HERITAGE LACE,43433,867763-1,1292305,55,2,0,867763,47.7,-5.3,PO MISMATCH,7713233-20181204180008
IRONWOOD INDUSTRIES,43438,859415-1,28785,112,0,0,859415,104,-8,PO MISMATCH,7721560-20181207180007
MEISSENBURG DESIGNS,43418,859274-2,280053,63.25,2,0,859274,55,-6.25,PO MISMATCH,7716756-20181204180008
P GRAHAM DUNN,43434,873050-1,2025281,39.5,8,0,873050,13.5,-18,PO MISMATCH,7712230-20181204180008
Tayse International,43434,833336-1,494430,12,0,0,833336,10.8,-1.2,PO MISMATCH,7712277-20181207180007
Tayse International,43423,849771-1,488656,11,0,0,849771,19.8,-1.1,PO MISMATCH,7690653-20181127180005
Tayse International,43434,849771-,494340,9.9,0,0,849771,19.8,-1.1,PO MISMATCH,7712273-20181207180007
Tayse International,43434,853997-1,494210,55,0,0,853997,49.5,-5.5,PO MISMATCH,7712266-20181207180007
Tayse International,43434,861530-1,494262,45,0,0,861530,40.5,-4.5,PO MISMATCH,7712268-20181207180007
Tayse International,43437,863935-1,495307,190,0,0,863935,183.6,-6.4,PO MISMATCH,7717786-20181207180007
Tayse International,43431,866720-1,492735,45,0,0,866720,40.5,-4.5,PO MISMATCH,7712256-20181204180008
Tayse International,43430,866937-1,491376,159,0,0,866937,143.1,-15.9,PO MISMATCH,7698753-20181204180008
Tayse International,43430,866948-1,491075,45,0,0,866948,40.5,-4.5,PO MISMATCH,7698752-20181204180008
Tayse International,43431,870112-1,492164,79,0,0,870112,71.1,-7.9,PO MISMATCH,7702388-20181204180008
Tayse International,43434,870172-2,494085,45,0,0,870172,40.5,-4.5,PO MISMATCH,7712267-20181207180007
West Creation,43419,852210-1,20756,26,3,0,852210,21.8,-1.2,PO MISMATCH,7684240-20181207180007
West Creation,43419,859565-1,20789,19.5,3,0,859565,15.68,-0.82,PO MISMATCH,7684192-20181207180007
West Creation,43419,859829-3,20788,26,3,0,859829,21.8,-1.2,PO MISMATCH,7684191-20181207180007
West Creation,43419,860493-1,20805,26,3,0,860493,21.8,-1.2,PO MISMATCH,7684024-20181207180007
