Vendor Name,Invoice  Date,PO Num,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
"All My Walls-Recherche,LLC",43430,867476-1,6366,80,0,0,867476,80,-80,PO MISMATCH,7702439-20181130180028
Designers Fountain,43432,872262-2,92994315,68.75,5,0,872262,63.75,-63.75,PO MISMATCH,7705547-20181130180028
Artisans Gallery,43434,868713-2,868713-2,38,2,0,868713,36,-30,PO MISMATCH,7717213-20181204180034
Artisans Gallery,43434,868713-3,868713-3,32,2,0,868713,36,-30,PO MISMATCH,7717217-20181204180034
Designers Fountain,43433,872262-2,92994746,68.75,5,0,872262,63.75,-63.75,PO MISMATCH,7708738-20181204180034
Elk Group International,43430,870144-2,2044798,91,0,0,870144,85,-6,PO MISMATCH,7713278-20181204180034
EVERGREEN ENTERPRISES,43409,858203-4,6697140,115,5,0,858203,100,-10,PO MISMATCH,7717077-20181204180034
EVERGREEN ENTERPRISES,43417,861397-1,6701591,225,5,0,861397,200,-20,PO MISMATCH,7716770-20181204180034
EVERGREEN ENTERPRISES,43424,863925-2,6705999,60,5,0,863925,45,-10,PO MISMATCH,7713317-20181204180034
EVERGREEN ENTERPRISES,43424,865216-1,6706000,23.5,5,0,865216,17.5,-1,PO MISMATCH,7713316-20181204180034
EVERGREEN ENTERPRISES,43424,865817-1,6706001,23.5,5,0,865817,17.5,-1,PO MISMATCH,7713315-20181204180034
EVERGREEN ENTERPRISES,43432,871423-1,6709338,115,5,0,871423,100,-10,PO MISMATCH,7713166-20181204180034
Laural Home,43403,856697-2,27480,85,0,0,856697,85,-85,PO MISMATCH,7716967-20181204180034
Laural Home,43402,856697-2,27788,85,0,0,856697,85,-85,PO MISMATCH,7716935-20181204180034
UTAH MOUNTAIN FURNITURE,43432,850740-5,2730,4683,0,0,850740,4160,-523,PO MISMATCH,7712279-20181204180034
"All My Walls-Recherche,LLC",43430,867476-1,6377,80,0,0,867476,80,-80,PO MISMATCH,7722162-20181207180029
Authentic Models,43389,849683-1,1808215,59.5,10,0,849683,47.5,-2,PO MISMATCH,7721544-20181207180029
Authentic Models,43437,812882-1,1809745,32.5,10,0,812882,20,-2.5,PO MISMATCH,7721536-20181207180029
Mohawk Factoring LLC,43432,870444-1,9429277,66.3,0,0,870444,63.75,-2.55,PO MISMATCH,7726985-20181207180029
Mohawk Factoring LLC,43433,872648-1,9438879,74.8,0,0,872648,73.95,-0.85,PO MISMATCH,7726986-20181207180029
Mohawk Factoring LLC,43433,872601-1,9438880,322.15,0,0,872601,311.1,-11.05,PO MISMATCH,7726987-20181207180029
Mohawk Factoring LLC,43433,871595-1,9438881,74.8,0,0,871595,73.95,-0.85,PO MISMATCH,7726988-20181207180029
"OK CASTING, LLC.",43440,867220-1,69553,180,15,0,867220,140,-25,PO MISMATCH,7727062-20181207180029
SOLSTICE ARTS,43320,821694-3,84190,63,10,0,821694,18,-35,PO MISMATCH,7721581-20181207180029
Kimlor,43438,876188-1,876215,82.25,3,0,876188,55.5,-23.75,PO MISMATCH,7717954-20181207180029
