Vendor Name,Invoice  Date,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,PO Num,Total    Difference,Discrepancy,Memo
COAST LAMP,43122,52326,-340,0,0,,,6646-,,CREDIT MEMO,COAST LAMP PMT RECPT 012618 1713.62
MY AMIGOS,43105,7166,-170,0,0,630113,170,630113-2,340,CREDIT MEMO,MY AMIGOS 011918 7166
COAST LAMP,43071,51650,-111.2,0,0,689210,139,689210-4,250.2,CREDIT MEMO,COAST LAMP PMT RECPT 121117 49
COAST LAMP,43087,51875,-109,0,0,671201,108.3,671201-1,217.3,CREDIT MEMO,COAST LAMP PMT RECPT 122017 3484.88 84.80 46
COAST LAMP,43122,52322,-95,0,0,686746,113.05,686746-2,208.05,CREDIT MEMO,COAST LAMP PMT RECPT 012618 1713.62
COAST LAMP,43104,52014,-93,0,0,710878,98,710878-1,191,CREDIT MEMO,COAST LAMP PMT RECPT 010518 49 4281.85
COAST LAMP,43089,51882,-89,0,0,714478,89,714478-1,193.31,CREDIT MEMO,COAST LAMP PMT RECPT 122017 3484.88 84.80 46
COAST LAMP,43071,51649,-60,0,0,692598,80,692598-1,140,CREDIT MEMO,COAST LAMP PMT RECPT 121117 49
COAST LAMP,43110,52174,-58.9,0,0,,,6646-,,CREDIT MEMO,COAST LAMP PMT RECPT 011918 4576.01
COAST LAMP,43074,51601,-55.6,0,0,676651,331,676651-7,386.6,CREDIT MEMO,COAST LAMP PMT RECPT 121117 49
MY AMIGOS,43105,7166,-44,0,0,640660,88,640660-1,132,CREDIT MEMO,MY AMIGOS 011918 7166
COAST LAMP,43127,52510,-40.5,0,0,702050,54,702050-1,94.5,CREDIT MEMO,COAST LAMP PMT RECPT 013018 321.95
COAST LAMP,43077,51768,-39.25,-11.75,0,706780,27.5,706780-1,55,CREDIT MEMO,CAST HORN 121517 5770.01
MY AMIGOS,43105,7166,-25,0,0,631826,170,631826-1,195,CREDIT MEMO,MY AMIGOS 011918 7166
Mayberry Rugs,43074,11023,-23.8,0,0,711039,56,711039-1,79.8,CREDIT MEMO,MAYBERRY 120517 807.70
COAST LAMP,43119,52368,-15.31,0,0,714478,89,714478-1,193.31,CREDIT MEMO,COAST LAMP PMT RECPT 012618 1713.62
COAST LAMP,43087,51876,-15,0,0,710040,98.8,710040-1,113.8,CREDIT MEMO,COAST LAMP PMT RECPT 122017 3484.88 84.80 46
COAST LAMP,43122,52323,-12,0,0,688133,197.6,688133-1,209.6,CREDIT MEMO,COAST LAMP PMT RECPT 012618 1713.62
COAST LAMP,43122,52320,-8,0,0,604645,465.05,604645-2,473.05,CREDIT MEMO,COAST LAMP PMT RECPT 012618 1713.62
COAST LAMP,43122,52324,-7.2,0,0,701157,136.8,701157-1,144,CREDIT MEMO,COAST LAMP PMT RECPT 012618 1713.62
COAST LAMP,43122,52325,-5.2,0,0,702668,98.8,702668-1,104,CREDIT MEMO,COAST LAMP PMT RECPT 012618 1713.62
COAST LAMP,43122,52321,-4,0,0,678680,198.8,678680-2,202.8,CREDIT MEMO,COAST LAMP PMT RECPT 012618 1713.62
FLAT ROCK FURNITURE,43089,32726,1080,0,0,700055,1079.34,700055-1,-0.66,DUPLICATE,FLATROCK 122017 32726
CAPITOL IMPORTING,43111,164605,77,3,0,716361,74,716361-2,,DUPLICATE,CAPITOL 011118 164605
CHANDLER 4 CORNERS,43108,236609,59.5,10,0,734945,49.5,734945-1,,DUPLICATE,CHANDLER 010818 236609
CHANDLER 4 CORNERS,43115,236750,40.6,10,0,738895,30.6,738895-2,,DUPLICATE,CHANDLER 011518 236793
COAST LAMP,43129,52288,80.05,5,0,740923,75.05,740923-4,,DUPLICATE,COAST LAMP PMT RECPT 013018 321.95
COAST LAMP,43090,51660,46.5,5,0,724156,41.5,724156-1,,DUPLICATE,COAST LAMP PMT RECPT 122017 3484.88
COAST LAMP,43090,51660,46.5,5,0,724156,41.5,724156-1,,DUPLICATE,COAST LAMP PMT RECPT 122117
Greenland Trading,43112,163785,71,5,0,739869,66,739869-1,,DUPLICATE,GREENLAND 012418 153880
"Kalalou, Inc.",43115,637070,55.5,0,0,725903,49.5,725903-1,,DUPLICATE,KALALOU 011618 637071
Mayberry Rugs,43111,106631,33,5,0,736898,28,736898-2,,DUPLICATE,MAYBERRY PMT RECPT 011218 1290.00
NEW WORLD TRADING,43056,25311,648,0,0,711630,1296,711630-1,,DUPLICATE,NEW WORLD TRADING 112117 25310
NEW WORLD TRADING,43056,25310,481,0,0,711358,962,711358-1,,DUPLICATE,NEW WORLD TRADING 112117 25310
NEW WORLD TRADING,43038,25279,1307.5,0,0,704253,2614.5,704253-2,,DUPLICATE,NEW WORLD TRADING 120517 25279
PACIFIC COAST,43090,6100815,104.5,5,0,731609,99.5,731609-1,,DUPLICATE,PACIFIC COAST 122917 6100815
VAXCEL,43102,786250,70.9,2.5,0,734212,68.4,734212-1,,DUPLICATE,VAXCEL 010318 786251
VAXCEL,43108,787389,126,2.5,0,731719,123.5,731719-2,,DUPLICATE,VAXCEL 010918 787439
