Enter Week,Vendor Name,Invoice  Date,Payment Date,Invoice Number,PO Num,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy
 Week 4 ,Attilas,43038,43038,16777,693506,75,10,0,693506,82,-48,PO MISMATCH - 2nd payment
 Week 4 ,Attilas,43026,43056,16757,693506,75,10,0,693506,82,-48,PO MISMATCH - 2nd payment
 Week 4 ,ASHTON ART,43012,43012,14725,681988,299,5,0,681988,282,-12,PO MISMATCH
 Week 4 ,ASHTON ART,43014,43014,14773,688477,229,5,0,688477,214,-10,PO MISMATCH
 Week 4 ,ASHTON ART,43012,43012,14727,685435,65,5,0,685435,55,-5,PO MISMATCH
 Week 4 ,ASHTON ART,43019,43019,14807,689872,134,5,0,689872,124,-5,PO MISMATCH
 Week 4 ,ASHTON ART,43007,43010,14685,690232,81,5,0,690232,73,-3,PO MISMATCH
 Week 4 ,ASHTON ART,43012,43012,14726,684981,70,5,0,684981,63,-2,PO MISMATCH
 Week 4 ,ASHTON ART,43069,43070,15675,702514,58,5,0,702514,51,-2,PO MISMATCH
 Week 4 ,CAL LIGHTING,43074,43074,521368,721459,77.4,0,0,721459,75.9,-1.5,PO MISMATCH
 Week 4 ,CHANDLER 4 CORNERS,43040,43040,233214,704656,55,10,0,704656,40.5,-4.5,PO MISMATCH
 Week 4 ,CHANDLER 4 CORNERS,43039,43039,223183,703028,19,10,0,703028,8.1,-0.9,PO MISMATCH
 Week 4 ,CHANDLER 4 CORNERS,43004,43004,231966,690956,178.3,10,0,690956,163.8,-4.5,PO MISMATCH
 Week 4 ,CHANDLER 4 CORNERS,43045,43045,233350,706489,46,10,0,706489,32.4,-3.6,PO MISMATCH
 Week 4 ,CHANDLER 4 CORNERS,43003,43003,231905,690632,44.2,10,0,690632,30.78,-3.42,PO MISMATCH
 Week 4 ,CHANDLER 4 CORNERS,43010,43010,232118,694002,40.6,10,0,694002,27.54,-3.06,PO MISMATCH
 Week 4 ,CHANDLER 4 CORNERS,43006,43006,231998,692293,19,10,0,692293,8.1,-0.9,PO MISMATCH
 Week 4 ,CHANDLER 4 CORNERS,43048,43048,233582,688172,40.6,10,0,688172,27.54,-3.06,PO MISMATCH
 Week 4 ,CHANDLER 4 CORNERS,43055,43055,233983,710791,27.1,10,0,710791,15.39,-1.71,PO MISMATCH
 Week 4 ,CHANDLER 4 CORNERS,43056,43056,234038,711296,27.1,10,0,711296,15.39,-1.71,PO MISMATCH
 Week 4 ,CHANDLER 4 CORNERS,43059,43059,234161,711792,27.1,10,0,711792,15.39,-1.71,PO MISMATCH
 Week 4 ,CHANDLER 4 CORNERS,43067,43067,234560,715504,55,10,0,715504,40.5,-4.5,PO MISMATCH
 Week 4 ,COAST LAMP,43007,43007,50265,687998,213,5,0,687998,197.6,-10.4,PO MISMATCH
 Week 4 ,COAST LAMP,43007,43007,50271,688276,163,5,0,688276,150.1,-7.9,PO MISMATCH
 Week 4 ,COAST LAMP,43007,43007,50272,688376,84,0,0,688376,79.8,-4.2,PO MISMATCH
 Week 4 ,COAST LAMP,43007,43007,50276,686451,316,5,0,686451,308.4,-2.6,PO MISMATCH
 Week 4 ,COAST LAMP,43007,43007,50218,687055,124,5,0,687055,117.8,-1.2,PO MISMATCH
 Week 4 ,COAST LAMP,43007,43007,50277,688720,212,5,0,688720,205.93,-1.07,PO MISMATCH
 Week 4 ,COAST LAMP,43007,43007,50224,686746,119,5,0,686746,113.05,-0.95,PO MISMATCH
 Week 4 ,COAST LAMP,43007,43007,50268,688133,203,5,0,688133,197.6,-0.4,PO MISMATCH
 Week 4 ,COAST LAMP,43049,43049,50908,701157,149,5,0,701157,136.8,-7.2,PO MISMATCH
 Week 4 ,COAST LAMP,43049,43049,50960,702668,109,5,0,702668,98.8,-5.2,PO MISMATCH
 Week 4 ,COAST LAMP,43049,43049,50894,700559,84,5,0,700559,74,-5,PO MISMATCH
 Week 4 ,COAST LAMP,43061,43061,51148,707194,89,5,0,707194,79,-5,PO MISMATCH
 Week 4 ,COAST LAMP,43061,43061,51128,706855,84,5,0,706855,74,-5,PO MISMATCH
 Week 4 ,COLORADO DALLAS LLC,43066,43066,18794,709818,146.4,2,0,709818,134.9,-9.5,PO MISMATCH
 Week 4 ,VILLAGE WROUGHT IRON,43076,43076,184097,723342,30,5,0,723342,25,-25,PO MISMATCH
 Week 4 ,VILLAGE WROUGHT IRON,43077,43077,184145,723342,30,5,0,723342,25,-25,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19322,709205,50.5,3,0,709205,45.6,-58.9,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19323,709205,60,3,0,709205,45.6,-58.9,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19258,698993,26,3,0,698993,23,-55,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19259,698993,58,3,0,698993,23,-55,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19262,698506,21.9,3,0,698506,17.96,-53.64,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19263,698506,55.7,3,0,698506,17.96,-53.64,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19311,708308,59,3,0,708308,53.2,-37.8,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19312,708308,38,3,0,708308,53.2,-37.8,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19295,705648,18.9,3,0,705648,15.11,-32.59,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19296,705648,34.8,3,0,705648,15.11,-32.59,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19306,705823,33,3,0,705823,28.5,-24.5,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19307,705823,26,3,0,705823,28.5,-24.5,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19304,707066,22.95,3,0,707066,18.95,-16.9,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19305,707066,18.9,3,0,707066,18.95,-16.9,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19320,708904,153,3,0,708904,142.5,-7.5,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19288,705066,20.5,3,0,705066,34.2,-6.3,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19289,705066,26,3,0,705066,34.2,-6.3,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19257,698177,121,3,0,698177,112.12,-5.88,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19253,699185,85,3,0,699185,77.9,-4.1,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19254,698924,78,3,0,698924,71.25,-3.75,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19273,701603,78,3,0,701603,71.25,-3.75,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19278,702846,78,3,0,702846,71.25,-3.75,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19321,710050,78,3,0,710050,71.25,-3.75,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19274,701310,58.2,3,0,701310,70.88,-3.72,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19302,701310,22.4,3,0,701310,70.88,-3.72,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19324,710033,77.6,3,0,710033,70.88,-3.72,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19270,700054,75,3,0,700054,68.4,-3.6,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19315,707883,73.5,3,0,707883,66.98,-3.52,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19319,708127,58.7,3,0,708127,52.93,-2.77,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19260,699268,58,3,0,699268,52.25,-2.75,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19283,704032,58,3,0,704032,52.25,-2.75,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19294,704722,58,3,0,704722,52.25,-2.75,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19290,705263,43,3,0,705263,38,-2,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19280,703176,22.4,3,0,703176,36.86,-1.94,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19314,703176,22.4,3,0,703176,36.86,-1.94,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19316,707690,39.75,3,0,707690,34.92,-1.83,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19287,704747,40.45,3,0,704747,53.15,-1.8,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19313,704747,20.5,3,0,704747,53.15,-1.8,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19297,705527,36,3,0,705527,31.36,-1.64,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19327,709386,36,3,0,709386,31.36,-1.64,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19266,702229,31.5,3,0,702229,27.08,-1.42,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19310,705755,30,3,0,705755,25.65,-1.35,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19325,709988,30,3,0,709988,25.65,-1.35,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19303,707005,22.95,3,0,707005,18.95,-1,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19291,705146,22.4,3,0,705146,18.43,-0.97,PO MISMATCH
 Week 4 ,West Creation,43053,43054,19318,708196,21.9,3,0,708196,17.96,-0.94,PO MISMATCH
 Week 4 ,COAST LAMP,43042,43049,51044CM,691098,-26.5,0,0,691098,31.5,58,Credit Memo
 Week 4 ,COAST LAMP,43038,43049,51053CM,684305,-34.4,0,0,684305,43,77.4,Credit Memo
 Week 4 ,COAST LAMP,43038,43049,51052CM,687842,-142.4,0,0,687842,198,162.4,Credit Memo
 Week 4 ,COAST LAMP,43047,43056,51168CM,697653,-24.48,0,0,697653,159.6,184.08,Credit Memo
