Enter Week,Payment Date_,Vendor Name,Invoice  Date,Payment Date,Invoice Number,PO Num,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy
WK 04,1/18/2018,"All My Walls-Recherche,LLC",12/19/2017,1/18/2018,6003,731022,150,0,0,731022,150,0,INCORRECT PO
WK 04,11/29/2017,American Crystal,11/29/2017,11/29/2017,12807,712940,28.84,0,0,712940,25.55,-3.29,PO MISMATCH
WK 04,11/29/2017,American Crystal,11/29/2017,11/29/2017,12807,712850,79.94,0,0,712850,76.65,-3.29,PO MISMATCH
WK 04,2/16/2018,Artisans Gallery,12/18/2017,2/16/2018,730476-1,730476,122.4,9,0,730476,111,-2.4,PO MISMATCH
WK 04,2/16/2018,Artisans Gallery,12/18/2017,2/16/2018,730188-1,730188,105.6,17.6,0,730188,86,-2,PO MISMATCH
WK 04,2/6/2018,Artisans Gallery,12/8/2017,2/6/2018,719377-1,719377,167.1,14,0,719377,152,-1.1,PO MISMATCH
WK 04,2/13/2018,Artisans Gallery,12/15/2017,2/13/2018,713363-2,713363,104.02,13.57,0,713363,89.5,-0.95,PO MISMATCH
WK 04,2/12/2018,Artisans Gallery,12/14/2017,2/12/2018,714039-1,714039,47,6.05,0,714039,40,-0.95,PO MISMATCH
WK 04,2/12/2018,Artisans Gallery,12/14/2017,2/12/2018,720224-2,720224,47,6.05,0,720224,40,-0.95,PO MISMATCH
WK 04,2/12/2018,Artisans Gallery,12/14/2017,2/12/2018,724787-2,724787,47,6.05,0,724787,40,-0.95,PO MISMATCH
WK 04,2/12/2018,Artisans Gallery,12/14/2017,2/12/2018,726134-2,726134,47,6.05,0,726134,40,-0.95,PO MISMATCH
WK 04,1/5/2018,Cambridge of California,12/6/2017,1/5/2018,69122,711093,720,0,0,711093,695,-25,PO MISMATCH
WK 04,1/10/2018,Certified International Corporation,12/11/2017,1/10/2018,724782-1,724782,20,0,0,724782,16,-4,PO MISMATCH
WK 04,12/31/2017,"EXPO DECOR, LLC",12/1/2017,12/31/2017,78766,715284,61,5,0,715284,50.4,-5.6,PO MISMATCH
WK 04,12/31/2017,"EXPO DECOR, LLC",12/1/2017,12/31/2017,78770,717751,61,5,0,717751,50.4,-5.6,PO MISMATCH
WK 04,12/31/2017,"EXPO DECOR, LLC",12/1/2017,12/31/2017,78771,717146,44,5,0,717146,35.1,-3.9,PO MISMATCH
WK 04,1/5/2018,"EXPO DECOR, LLC",12/6/2017,1/5/2018,78790,718986,40,5,0,718986,31.5,-3.5,PO MISMATCH
WK 04,12/29/2017,HiEnd Accents,11/29/2017,12/29/2017,225737,683169,90,5,0,683169,25,-60,PO MISMATCH
