Vendor Name,Invoice  Date,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,PO Num,Total    Difference,Discrepancy,Memo
West of the Wind Designs,43108,94325,95,0,0,737825,95,737825-1,0,,WEST OF THE WIND 010818 94325
Mexican Country Imports,43108,10858,120.98,9.95,29.03,737397,82,737397-2,0,,MEXICAN COUNTRY 010817 10858
Webers Leather,43108,94948,22.82,7.86,0,737178,14.96,737178-2,0,,WEBERS 010818 94948
HOMEFIRES,43108,45314,27.5,5,0,737143,22.5,737143-2,0,,HOMEFIRES 010818 45314
SOLSTICE ARTS,43108,80554,105,15,0,737027,90,737027-1,0,,SOLSTICE ARTS 010818 80554
SOLSTICE ARTS,43108,80554,58,5,0,736973,53,736973-1,0,,SOLSTICE ARTS 010818 80554
SOLSTICE ARTS,43108,80554,20.95,5,0,736867,18,736867-1,2.05,,SOLSTICE ARTS 010818 80554
SOLSTICE ARTS,43108,80554,80,5,0,736818,75,736818-1,0,,SOLSTICE ARTS 010818 80554
Saverio Inc.,43105,201810010,35,5,0,736814,30,736814-1,0,,SAVERIO 010518 201810010
"Crosses of Comfort, LLC",43108,2449,175.5,0,0,736810,175.5,736810-1,0,,CROSSES OF COMFORT 010818 2449
SOLSTICE ARTS,43108,80554,80,5,0,736683,75,736683-1,0,,SOLSTICE ARTS 010818 80554
SOLSTICE ARTS,43108,80554,85,5,0,736676,80,736676-1,0,,SOLSTICE ARTS 010818 80554
Saverio Inc.,43105,201810009,20,5,0,736661,15,736661-4,0,,SAVERIO 010518 201810009
Wilco Home,43105,84243,42,0,0,736608,42,736608-1,0,,WILCO 010818 84243
SOLSTICE ARTS,43108,80554,58,5,0,736513,53,736513-1,0,,SOLSTICE ARTS 010818 80554
West of the Wind Designs,43105,94312,95,0,0,736507,90,736507-1,-5,PO MISMATCH,WEST OF THE WIND 010518 94312
"StyleCraft Home Collection, Inc.",43105,1435248,25.69,0,0,736386,27.04,736386-2,1.35,,STYLECRAFT 010818 (3)
SOLSTICE ARTS,43108,80554,85,5,0,736296,80,736296-1,0,,SOLSTICE ARTS 010818 80554
"PEKING HANDICRAFT, INC.",43104,4330774,75,5,0,736088,70,736088-1,0,,PEKING 010518 4330774
Saverio Inc.,43104,201810007,30,5,0,736068,25,736068-1,0,,SAVERIO 010418 201810007
WOODED RIVER,43108,122336,98.28,0,0,736056,98.28,736056-1,0,,WOODED RIVER 010818 122336
WOODED RIVER,43108,122340,69.16,0,0,735958,69.16,735958-1,0,,WOODED RIVER 010818 122340
"Trans-Ocean Import Co., Inc.",43105,850810,39.9,0,0,735887,39.9,735887-1,0,,TRANS OCEAN 010818 850810
WOODED RIVER,43108,122341,294.84,0,0,735731,294.84,735731-1,0,,WOODED RIVER 010818 122341
Mexican Country Imports,43108,10861,207.72,9.95,26.77,735700,171,735700-1,0,,MEXICAN COUNTRY 010817 10861
"PEKING HANDICRAFT, INC.",43104,4330775,29,5,0,735688,24,735688-1,0,,PEKING 010518 4330775
WOODED RIVER,43108,122337,296.66,0,0,735560,296.66,735560-1,0,,WOODED RIVER 010818 122337
SOLSTICE ARTS,43104,80492,23,5,0,735551,18,735551-2,0,,SOLSTICE ARTS 010418 80492
WOODED RIVER,43104,122305,101.92,0,0,735543,101.92,735543-2,0,,WOODED RIVER 010518 122305
WOODED RIVER,43104,122302,190.19,0,0,735533,190.19,735533-1,0,,WOODED RIVER 010518 122302
"StyleCraft Home Collection, Inc.",43105,1435246,21.62,0,0,735449,22.76,735449-3,1.14,,STYLECRAFT 010818 (3)
Magnolia Casual,43103,82659,73.5,3,0,735416,70.5,735416-1,0,,MAGNOLIA CASUAL 010318 82659
Saverio Inc.,43103,201810005,190,10,0,735378,180,735378-1,0,,SAVERIO 010318 201810005
"StyleCraft Home Collection, Inc.",43105,1435247,59.47,0,0,735368,62.6,735368-1,3.13,,STYLECRAFT 010818 (3)
HOMEFIRES,43103,45294,27.5,5,0,735305,22.5,735305-3,0,,HOMEFIRES 010318 45294
"Trans-Ocean Import Co., Inc.",43103,850480,15.95,0,0,735305,15.95,735305-2,0,,TRANS OCEAN 010418 (2)
"Michaelian Home, Inc.",43104,53896,60,0,0,735276,60,735276-1,0,,MICHAELIAN HOME 010518 53896
Saverio Inc.,43103,201810004,235,10,0,735276,225,735276-2,0,,SAVERIO 010318 201810004
Saverio Inc.,43105,201810002,33,5,0,735227,28,735227-1,0,,SAVERIO 010318 201810002
WOODED RIVER,43104,122303,22.75,0,0,735227,22.75,735227-2,0,,WOODED RIVER 010518 122303
WOODED RIVER,43104,122297,68.25,0,0,735188,68.25,735188-1,0,,WOODED RIVER 010518 122297
Lorec Ranch Wholesale,43103,603,71.99,10,0,735155,61.99,735155-1,0,,LOREC 010318 603
Webers Leather,43102,94862,27.26,8.02,0,735147,19.24,735147-1,-3.55271E-15,,WEBERS 010218 94862
Rizzy Home,43104,4076054,71,5,0,735050,66,735050-1,0,Duplicate - NOT UPLOADED,RIZZY 010418 (3)
Rizzy Home,43104,4076054,71,5,0,735050,66,735050-1,0,,RIZZY 010418 (3)
Webers Leather,43102,94862,28.44,8.02,0,735034,20.42,735034-1,0,,WEBERS 010218 94862
West of the Wind Designs,43102,94303,95,0,0,735009,90,735009-2,-5,PO MISMATCH,WEST OF THE WIND 010218 94303
SOLSTICE ARTS,43103,80467,40,5,0,735003,35,735003-2,0,,SOLSTICE ARTS 010317 80467
SOLSTICE ARTS,43103,80467,80,5,0,734961,75,734961-1,0,,SOLSTICE ARTS 010317 80467
Songbird Essentials,43102,1277939,16.4,3.5,0,734944,12.9,734944-2,0,,SONGBIRD 010218 1277939
SOLSTICE ARTS,43103,80467,40,5,0,734937,35,734937-2,0,,SOLSTICE ARTS 010317 80467
