Vendor Name,"Invoice 
Date",PO Num,"Invoice 
Number",Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
MEXPORTS,43132,749926-1,7496,829,0,0,749926,749,-80,CREDIT CARD INVOICE  - NOT UPLOADED,MEXPORTS 020718 201810003 N
ANASAZI METAL WORKS,43123,Dix-,3578,46,6,0,,,,NO PO ON INVOICE,ANASAZI 020518 3578 N
All Resort Furnishings,43136,742018-1,3940,90,5,0,,,,NOT ON DROP SHIP REPORT,ALL RESORT 020618 3940 N
American Crystal,43082,723092-1,12839,72,0,0,,,,NOT ON DROP SHIP REPORT,AMERICAN CRYSTAL 020618 12839
ANASAZI METAL WORKS,43123,742238-1,3578,46,6,0,,,,NOT ON DROP SHIP REPORT,ANASAZI 020518 3578 N
Designers Fountain,43126,705031-,92920907,132.5,5,0,,,,NOT ON DROP SHIP REPORT,DESIGNERS FTN 020518 (4) N
Designers Fountain,43126,705546-,92920908,132.5,5,0,,,,NOT ON DROP SHIP REPORT,DESIGNERS FTN 020518 (4) N
Designers Fountain,43126,706165-,92920909,689.7,5,0,,,,NOT ON DROP SHIP REPORT,DESIGNERS FTN 020518 (4) N
Designers Fountain,43126,706166-,92920910,71.75,5,0,,,,NOT ON DROP SHIP REPORT,DESIGNERS FTN 020518 (4) N
HiEnd Accents,43137,747707-1,233655,65,5,0,,,,NOT ON DROP SHIP REPORT,HI END 020718 132 N
Artisans Gallery,43138,747603-1,747603-1,178,18,0,747603,142,-18,PO MISMATCH,ARTISANS GALLERY 020818 747603-1 N
Artisans Gallery,43136,746611-2,746611-2,47,6.05,0,746611,40,-0.95,PO MISMATCH,ARTISANS GALLERY 020618 746611-2 N
EVERGREEN ENTERPRISES,43132,734110-2,6421946,85,5,0,734110,65,-15,PO MISMATCH,EVERGREEN 020518 6421946 N
HiEnd Accents,43132,729356-2,233071 Replacement,25,0,0,729356,25,0,REVISED - NOT UPLOADED,HI END 020718 132 N
HiEnd Accents,43132,729154-1,233072 Replacement,69,0,0,729154,69,0,REVISED - NOT UPLOADED,HI END 020718 132 N
HiEnd Accents,43132,727961-1,233063 Replacement,75,0,0,727961,270,195,REVISED - NOT UPLOADED,HI END 020718 132 N
HiEnd Accents,43133,719854-2,233219 Replacement,70,0,0,719854,241.5,171.5,REVISED - NOT UPLOADED,HI END 020718 132 N
Mexican Country Imports,43137,720303-1,10918,0,0,0,720303,114,114,REVISED - NOT UPLOADED,MEXICAN CO 020718 10918 N
HiEnd Accents,43132,7151-,233070,8847,0,0,,,,WAREHOUSE- NOT UPLOADED,HI END 020718 132 N
All Resort Furnishings,43136,736140-1,3940,90,5,0,736140,85,0,,ALL RESORT 020618 3940 N
All Resort Furnishings,43136,737026-3,3940,142,5,0,737026,137,0,,ALL RESORT 020618 3940 N
All Resort Furnishings,43136,737955-1,3940,57,5,0,737955,52,0,,ALL RESORT 020618 3940 N
All Resort Furnishings,43136,738826-1,3940,100,5,0,738826,95,0,,ALL RESORT 020618 3940 N
All Resort Furnishings,43136,739141-1,3940,195,5,0,739141,190,0,,ALL RESORT 020618 3940 N
All Resort Furnishings,43136,739771-2,3940,57,5,0,739771,52,0,,ALL RESORT 020618 3940 N
All Resort Furnishings,43136,739906-1,3940,90,5,0,739906,85,0,,ALL RESORT 020618 3940 N
All Resort Furnishings,43136,740091-2,3940,57,5,0,740091,52,0,,ALL RESORT 020618 3940 N
All Resort Furnishings,43136,741680-4,3940,57,5,0,741680,52,0,,ALL RESORT 020618 3940 N
All Resort Furnishings,43136,743540-1,3940,100,5,0,743540,95,0,,ALL RESORT 020618 3940 N
All Resort Furnishings,43136,743919-1,3940,90,5,0,743919,85,0,,ALL RESORT 020618 3940 N
All Resort Furnishings,43136,743970-4,3940,55,5,0,743970,50,0,,ALL RESORT 020618 3940 N
All Resort Furnishings,43136,746607-1,3940,50,5,0,746607,45,0,,ALL RESORT 020618 3940 N
All Resort Furnishings,43136,747553-3,3940,50,5,0,747553,45,0,,ALL RESORT 020618 3940 N
All Resort Furnishings,43136,734167-3,3940,100,5,0,734167,190,95,,ALL RESORT 020618 3940 N
All Resort Furnishings,43136,735168-2,3940,44,5,0,735168,78,13,,ALL RESORT 020618 3940 N
All Resort Furnishings,43136,735168-8,3940,31,5,0,735168,78,13,,ALL RESORT 020618 3940 N
All Resort Furnishings,43136,735423-1,3940,317,5,0,735423,416,104,,ALL RESORT 020618 3940 N
Always Azul Pottery,43126,737306-1,18229,114,4,0,737306,110,0,,ALWAYS AZUL 020518 18229 N
Always Azul Pottery,43126,738764-1,18229,57,2,0,738764,55,0,,ALWAYS AZUL 020518 18229 N
Always Azul Pottery,43126,732764-1,18229,310,10,0,732764,300,0,,ALWAYS AZUL 020518 18229 N
Always Azul Pottery,43126,724565-1,18229,62,2,0,724565,60,0,,ALWAYS AZUL 020518 18229 N
Always Azul Pottery,43126,735205-2,18229,248,8,0,735205,240,0,,ALWAYS AZUL 020518 18229 N
Always Azul Pottery,43126,740157-1,18229,124,4,0,740157,120,0,,ALWAYS AZUL 020518 18229 N
Always Azul Pottery,43126,740773-1,18229,31,2,0,740773,29,0,,ALWAYS AZUL 020518 18229 N
Always Azul Pottery,43126,742350-1,18229,62,2,0,742350,60,0,,ALWAYS AZUL 020518 18229 N
Always Azul Pottery,43126,739054-1,18229,342,12,0,739054,330,0,,ALWAYS AZUL 020518 18229 N
Always Azul Pottery,43126,741642-2,18229,29,2,0,741642,27,0,,ALWAYS AZUL 020518 18229 N
Always Azul Pottery,43126,742136-1,18229,29,2,0,742136,27,0,,ALWAYS AZUL 020518 18229 N
Always Azul Pottery,43126,732916-1,18229,124,4,0,732916,120,0,,ALWAYS AZUL 020518 18229 N
Always Azul Pottery,43133,736928-1,18258,372,12,0,736928,360,0,,ALWAYS AZUL 020518 18258 N
Always Azul Pottery,43133,747556-2,18258,114,4,0,747556,110,0,,ALWAYS AZUL 020518 18258 N
Always Azul Pottery,43133,747536-2,18258,57,2,0,747536,55,0,,ALWAYS AZUL 020518 18258 N
Always Azul Pottery,43133,747371-1,18258,124,4,0,747371,120,0,,ALWAYS AZUL 020518 18258 N
Always Azul Pottery,43133,746172-2,18258,57,2,0,746172,55,0,,ALWAYS AZUL 020518 18258 N
Always Azul Pottery,43133,741273-1,18258,248,8,0,741273,240,0,,ALWAYS AZUL 020518 18258 N
Always Azul Pottery,43133,744831-4,18258,62,4,0,744831,58,0,,ALWAYS AZUL 020518 18258 N
Always Azul Pottery,43126,738904-2,18229,22,2,0,738904,21,1,,ALWAYS AZUL 020518 18229 N
American Crystal,43082,728382-1,12839,36,0,0,728382,36,0,,AMERICAN CRYSTAL 020618 12839
ANASAZI METAL WORKS,43123,736070-1,3578,61.9,21.9,0,736070,40,0,,ANASAZI 020518 3578 N
ANASAZI METAL WORKS,43123,729345-1,3578,46,6,0,729345,40,0,,ANASAZI 020518 3578 N
ANASAZI METAL WORKS,43123,733746-3,3578,46,6,0,733746,40,0,,ANASAZI 020518 3578 N
ANASAZI METAL WORKS,43123,734608-1,3578,46,6,0,734608,40,0,,ANASAZI 020518 3578 N
ANASAZI METAL WORKS,43123,736186-1,3578,46,6,0,736186,40,0,,ANASAZI 020518 3578 N
ANASAZI METAL WORKS,43123,739100-2,3578,46,6,0,739100,40,0,,ANASAZI 020518 3578 N
