Vendor Name,Invoice  Date,PO Num,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
Always Azul Pottery,43154,749346-1,18294,117,2,0,749346,115,0,,ALWAYS AZUL 022616 18294N
Always Azul Pottery,43154,751609-1,18294,114,4,0,751609,110,0,,ALWAYS AZUL 022616 18294N
Always Azul Pottery,43154,751783-1,18294,124,4,0,751783,120,0,,ALWAYS AZUL 022616 18294N
Always Azul Pottery,43154,753091-2,18294,124,4,0,753091,120,0,,ALWAYS AZUL 022616 18294N
Always Azul Pottery,43159,754265-1,18304,117,2,0,754265,115,0,,ALWAYS AZUL 030118 18304N
Always Azul Pottery,43159,754511-2,18304,248,8,0,754511,240,0,,ALWAYS AZUL 030118 18304N
Always Azul Pottery,43159,754600-1,18304,570,20,0,754600,550,0,,ALWAYS AZUL 030118 18304N
Always Azul Pottery,43154,754730-1,18294,228,8,0,754730,220,0,,ALWAYS AZUL 022616 18294N
Always Azul Pottery,43159,755330-3,18304,117,2,0,755330,115,0,,ALWAYS AZUL 030118 18304N
Always Azul Pottery,43159,755525-3,18304,456,16,0,755525,440,0,,ALWAYS AZUL 030118 18304N
"American Cover Design 26, Inc.",43146,753831-2,111827,104.8,5,0,753831,98,-1.8,PO MISMATCH,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43152,756101-4,111987,20.4,5,0,756101,5.5,-9.9,PO MISMATCH,AMERICAN COVER 022818N
"American Cover Design 26, Inc.",43140,726375-1,111677,35.9,5,0,726375,30.9,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43140,734731-2,111677,70.9,5,0,734731,214.9,149,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43146,741317-6,111827,30,5,0,741317,25,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43140,743840-3,111677,70.9,5,0,743840,65.9,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43146,745030-4,111827,70.9,5,0,745030,131.8,65.9,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43140,745496-1,111677,70.9,5,0,745496,65.9,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43140,745568-1,111677,35.9,5,0,745568,30.9,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43140,748817-2,111678,88.9,5,0,748817,83.9,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43140,749607-2,111677,15.5,5,0,749607,10.5,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43140,750852-1,111677,70.9,5,0,750852,65.9,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43140,750881-2,111677,15.5,5,0,750881,10.5,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43140,750891-2,111678,34,5,0,750891,29,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43140,751066-2,111677,12.5,5,0,751066,7.5,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43140,751176-3,111677,117,5,0,751176,112,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43145,751664-1,111776,19,5,0,751664,14,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43145,751749-3,111776,37,5,0,751749,32,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43145,751779-1,111776,19,5,0,751779,14,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43145,751860-1,111776,29,5,0,751860,24,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43145,751945-2,111776,29,5,0,751945,24,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43145,751985-2,111778,23,5,0,751985,18,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43145,752124-1,111776,143,5,0,752124,138,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43146,752131-3,111827,31,5,0,752131,26,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43146,752210-3,111827,57,5,0,752210,52,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43145,752284-1,111776,26.9,5,0,752284,21.9,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43145,752836-1,111776,54.9,5,0,752836,49.9,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43145,752890-2,111776,74,5,0,752890,69,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43145,752913-2,111778,23,5,0,752913,18,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43145,752996-1,111776,19,5,0,752996,14,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43145,753150-1,111778,30,5,0,753150,25,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43145,753332-2,111776,30,5,0,753332,25,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43146,753364-2,111827,117,5,0,753364,112,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43146,753616-1,111828,223,5,0,753616,218,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43146,753636-1,111828,136.8,5,0,753636,131.8,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43146,753690-2,111827,69,5,0,753690,64,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43146,753759-1,111827,15.5,5,0,753759,10.5,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43146,753815-2,111827,13.25,5,0,753815,8.25,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43146,753914-1,111828,28.5,5,0,753914,23.5,0,,AMERICAN COVER 022618 (6)N
"American Cover Design 26, Inc.",43152,755876-1,111987,54.9,5,0,755876,49.9,0,,AMERICAN COVER 022818N
"American Cover Design 26, Inc.",43152,756073-1,111987,20,5,0,756073,15,0,,AMERICAN COVER 022818N
"American Cover Design 26, Inc.",43152,756220-1,111987,30,5,0,756220,25,0,,AMERICAN COVER 022818N
"American Cover Design 26, Inc.",43152,756436-2,111987,30.8,5,15.9,756436,9.9,0,,AMERICAN COVER 022818N
