Janet's Notes,CustomID,Vendor Name,Invoice  Date,Invoice Number,PO Num,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
,,"American Cover Design 26, Inc.",43489,1197343,903252-2,35.9,5,0,903252,21.9,-9,PO MISMATCH,7859272-20190205180021
,,Authentic Models,43480,1811158,898313-2,271.0,0,0,898313,330.0,-16.5,PO MISMATCH,7811975-20190118180029
,,Authentic Models,43501,1811698,898313-2,75.5,0,0,898313,330.0,-16.5,PO MISMATCH,7866880-20190208180021
,,Designers Fountain,43488,93009368,902618-1,205.25,5,0,902618,200.25,-66.75,PO MISMATCH,7834462-20190125180026
,,HiEnd Accents,43501,267008,906907-1,40.0,5,0,906907,33.0,-2,PO MISMATCH,7870202-20190208180021
,,"KAS Oriental Rugs, Inc.",43473,746877,894910-1,95.0,0,0,894910,95.0,-95,PO MISMATCH,7795476-20190111180028
,,"KAS Oriental Rugs, Inc.",43495,751370,894910-1,95.0,0,0,894910,95.0,-95,PO MISMATCH,7851056-20190205180021
,,Kimlor,43495,883311,906263-4,87.75,3,0,906263,82.5,-2.25,PO MISMATCH,7851083-20190205180021
,,Mohawk Factoring LLC,43497,9683149,907020-1,578.0,0,0,907020,558.45,-19.55,PO MISMATCH,7862523-20190205180021
,,"OK CASTING, LLC.",43495,69741,901236-1,223.0,15,0,901236,207.0,-1,PO MISMATCH,7851111-20190205180021
,,"OK CASTING, LLC.",43501,69759,904280-1,323.0,15,0,904280,276.0,-32,PO MISMATCH,7866938-20190208180021
,,WILD WINGS,43482,359675,899695-4,50.0,2.5,0,899695,95.0,-9.5,PO MISMATCH,7827753-20190125180026
,,WILD WINGS,43493,360414,899695-4,59.5,2.5,0,899695,95.0,-9.5,PO MISMATCH,7858707-20190205180021
,,WILD WINGS,43493,360387,903682-1,59.5,2.5,0,903682,47.5,-9.5,PO MISMATCH,7858704-20190205180021
