Item Code,Manufacturer Model Number,UPC Code,Product Name,Current Wholesale (Stocking) Price AFTER Discount,New Wholesale (Stocking) Price AFTER Discount,Current Wholesale (Stocking) Price BEFORE Discount,New Wholesale (Stocking) Price BEFORE Discount,Current Drop Ship Price AFTER Discount,New Drop Ship Price AFTER Discount,Current Drop Ship Price BEFORE Discount,New Drop Ship Price BEFORE Discount,Drop Ship Fee (optional),MAP Price (Sale Price),Full Retail Price (MSRP),Option 1 Value,Option 1 Surcharge,Option 2 Value,Option 2 Surcharge,Option 3 Value,Option 3 Surcharge
JL259250050,259250050,,Logan Ottoman with Pillows,59.00,,78.67,,59.00,,78.67,,,,,,,,,,
JLMP103067,MP10-3067,675716783983,Logan Champagne Faux Fur Comforter Set - King,42.00,,56.00,,42.00,,56.00,,,,,,,,,,
JLMP103075,MP10-3075,675716784225,Jackson Chocolate Faux Fur Bed Set - King,49.88,,66.51,,49.88,,66.51,,,,,,,,,,
JLMP122707,MP12-2707,675716748012,Pebble Beach DUVET&DUVET SET,55.44,,73.92,,59.88,,79.83,,,,,,,,,,
JLMP134474,MP13-4474,675716954574,Blue Beach Six Piece Daybed Set,35.28,,47.04,,35.28,,47.04,,,,,,,,,,
JLMPS95C0019,MPS95C-0019,086569892904,Summer Cattails Framed Canvas,30.24,,40.32,,30.24,,40.32,,,,,,,,,,
JLUHK100037,UHK10-0037,675716998271,Finn COMFORTER (SET),45.36,,60.48,,48.99,,65.32,,,,,,,,,,
JLFPF180165,FPF18-0165,,Gramercy Chair - Chevron,125.00,,166.67,,125.00,,166.67,,,,,,,,,,
JLMP10847,MP10-847,675716515584,Earth & Sky Comforter Set - King,73.49,,97.99,,73.49,,97.99,,,,,,,,,,
JLUH95C0014,UH95C-0014,086569895271,Aqua Gold Foil Canvases - Set of 3,30.24,,40.32,,30.24,,40.32,,,,,,,,,,
JLHH101222,HH10-1222,,Ocean Breeze Comforter Set - Full,106.00,,141.33,,114.48,,152.64,,,,,,,,,,
JLMZ10513,MZ10-513,675716866280,Coastal Flowers Comforter Set - Full/Queen,30.24,,40.32,,30.24,,40.32,,,,,,,,,,
JLHH101545,HH10-1545,675716736460,Sandy Reef Comforter Set - Queen,104.99,,139.99,,104.99,,139.99,,,,,,,,,,
JLMPS163337,MPS163-337,86569012012,Forest BOXES & BASKETS,28.35,,37.80,,30.62,,40.82,,,,,,,,,,
JLUHK130040,UHK13-0040,675716998554,Finn COVERLET&BEDSPR,35.28,,47.04,,38.10,,50.80,,,,,,,,,,
JLFPF180030,FPF18-0030,,Daphne Accent Chair - Botanical,150.00,,200.00,,150.00,,200.00,,,,,,,,,,
JLHH10415,HH10-415,675716228699,Coastline COMFORTER (SET),104.00,,138.67,,112.32,,149.76,,,,,,,,,,
JLMP132710,MP13-2710,675716748043,Pebble Beach COVERLET&BEDSPR,65.52,,87.36,,70.76,,94.35,,,,,,,,,,
JLHH30706A,HH30-706A,,Newbury Striped Pillow,17.00,,22.67,,17.00,,22.67,,,,,,,,,,
JLWR101058,WR10-1058,675716482381,Woodsman Comforter Set - Full/Queen,33.07,,44.09,,33.07,,44.09,,,,,,,,,,
JLMP503723,MP50-3723,675716847357,Pebble Beach THROW,18.38,,24.51,,19.85,,26.47,,,,,,,,,,
JLHH10703,HH10-703,675716342449,Clamshell Comforter Set - King,119.00,,158.67,,119.00,,158.67,,,,,,,,,,
JLID101122,ID10-1122,675716903879,Jungle Flower Comforter Set - Twin/Twin XL,30.24,,40.32,,30.24,,40.32,,,,,,,,,,
JLMP10526,MP10526,675716479909,Turquoise River Bed Set - King,73.49,,97.99,,79.37,,105.83,,,,,,,,,,
JLMZ200541,MZ20-0541,675716917227,Whale Love Sheet Set - Queen,15.12,,20.16,,15.12,,20.16,,,,,,,,,,
JLFB10992,FB10-992,675716619947,Cypress Falls Bed Set - King,227.50,,303.33,,227.50,,303.33,,,,,,,,,,
JLFPF180166,FPF18-0166,,Gramercy Chair - Tribal,125.00,,166.67,,125.00,,166.67,,,,,,,,,,
JLII1300182,II130-0182,675716977795,Woodworker Two Door Accent Chest,225.00,,300.00,,225.00,,300.00,,,,,,,,,,
JLMZK13112,MZK13-112,675716904630,Ocean Friends Coverlet Set - Twin,35.18,,46.91,,35.18,,46.91,,,,,,,,,,
JLWR142236,WR14-2236,86569938541,Sweetwater QUILT,50.40,,67.20,,54.43,,72.58,,,,,,,,,,
JLMZ10517,MZ10-517,675716875152,Tropical Flowers Comforter Set - Full/Queen,30.24,,40.32,,30.24,,40.32,,,,,,,,,,
JLMZK70122,MZK70-122,675716908294,Ocean Friends Printed Shower Curtain,12.08,,16.11,,12.08,,16.11,,,,,,,,,,
JLHH10701,HH10-701,,Newbury Comforter Set - Full,94.00,,125.33,,94.00,,125.33,,,,,,,,,,
JLAH101614,HH10-1614,,Harbor House Bed Set - King,100.80,,134.40,,100.80,,145.15,,,,,,,,,,
JLMP95C0100,MP95C-0100,086569892942,Beach Birds Framed Canvases - Set of 2,39.82,,53.09,,39.82,,53.09,,,,,,,,,,
JLMPE10697,MPE10-697,86569963789,Saben COMFORTER (SET),62.95,,83.93,,67.98,,90.64,,,,,,,,,,
JLMP102704,MP10-2704,675716747985,Coral & Aqua Reef Comforter Set - Queen,70.56,,94.08,,70.56,,94.08,,,,,,,,,,
JLMP103064,MP10-3064,675716783914,Logan Black Faux Fur Comforter Set - Queen,36.75,,49.00,,36.75,,49.00,,,,,,,,,,
JLMP10505,MP10-505,675716479695,Bayside COMFORTER (SET),78.74,,104.99,,85.04,,113.39,,,,,,,,,,
JLMP95C0108,MP95C-0108,086569893246,Monotone Feathers Framed Canvases - Set of 2,49.90,,66.53,,49.90,,66.53,,,,,,,,,,
JLMZ80067,MZ80-067,675716412272,Sunny Flowers Coverlet Set - Full/Queen,36.74,,48.99,,36.74,,48.99,,,,,,,,,,
JLUHK130027,UHK13-0027,675716905149,Whale Love Coverlet Set - Twin/Twin XL,35.28,,47.04,,35.28,,47.04,,,,,,,,,,
JLCHT015,CHT015,,Seaside Three Drawer Chest,195.00,,260.00,,195.00,,260.00,,,,,,,,,,
JLHH30708A,HH30-708A,,Newbury Fan Shell Pillow,22.00,,29.33,,22.00,,29.33,,,,,,,,,,
JLII1340188,II134-0188,675716977870,Ozark Two Door Accent Cabinet,225.00,,300.00,,225.00,,300.00,,,,,,,,,,
JLMP95C0121,MP95C-0121,086569905826,Sailing at Dusk Framed Canvas,35.28,,47.04,,35.28,,47.04,,,,,,,,,,
JLMZ10512,MZ10-512,675716866273,Coastal Flowers Comforter Set - Twin/Twin XL,25.20,,33.60,,25.20,,33.60,,,,,,,,,,
JLMZ80091,MZ80-091,675716439330,Coastal Flowers Coverlet Set - Full/Queen,36.74,,48.99,,36.74,,48.99,,,,,,,,,,
JLMP10525,MP10525,675716479893,Turquoise River Bed Set - Queen,62.99,,83.99,,68.03,,90.71,,,,,,,,,,
JLWR142233,WR14-2233,086569938510,Twin Falls Oversize Quilt Bed Set - Full / Queen,45.36,,60.48,,48.99,,65.32,,,,,,,,,,
JLMP303404,MP30-3404,675716822446,Pebble Beach NORMAL PILLOW - set of 2,21.60,,28.80,,23.33,,31.10,,,,,,,,,,
JLMP734967,MP73-4967,86569905468,Bayside BATH TOWEL,31.50,,42.00,,34.02,,45.36,,,,,,,,,,
JLWR101055,WR10-1055,675716482398,Quilted Plaid Comforter Set - Full/Queen,33.07,,44.09,,33.07,,44.09,,,,,,,,,,
JLFB101147,FB10-1147,675716726669,Quiet Sand Comforter Set - King,227.50,,303.33,,227.50,,303.33,,,,,,,,,,
JLID131124,ID13-1124,675716903893,Jungle Flower Coverlet Set - Twin/Twin XL,33.08,,44.11,,33.08,,44.11,,,,,,,,,,
JLMP103066,MP10-3066,675716783945,Logan Champagne Faux Fur Comforter Set - Queen,36.75,,49.00,,36.75,,49.00,,,,,,,,,,
JLMP1670098,MP167-0098,675716940683,Vintage White Wood Wall Art - Set of 3,80.64,,107.52,,80.64,,107.52,,,,,,,,,,
JLUH100029,UH10-0029,675716811785,Muted Medallion 7 Piece Comforter Set - Full/Queen,52.50,,70.00,,52.50,,70.00,,,,,,,,,,
JLHH10702,HH10-702,675716342432,Clamshell Comforter Set - Queen,104.00,,138.67,,104.00,,138.67,,,,,,,,,,
JLMPE10695,MPE10-695,86569963765,Saben COMFORTER (SET),57.17,,76.23,,61.75,,82.33,,,,,,,,,,
JLWR142235,WR14-2235,86569938527,Sweetwater QUILT,45.36,,60.48,,48.99,,65.32,,,,,,,,,,
JLAH101615,HH10-1615,,Harbor House Bed Set - Cal King,100.80,,134.40,,100.80,,145.15,,,,,,,,,,
JLFPF180201,FPF18-0201,,Gramercy Chair - Pop Drop,125.00,,166.67,,125.00,,166.67,,,,,,,,,,
JLMPS10315,MPS10-315,086569900364,Tribal Boho Comforter Set - King,183.95,,245.27,,183.95,,245.27,,,,,,,,,,
JLMP103152,MP10-3152,675716799144,Taos Spice Comforter Set - Cal King,73.50,,98.00,,79.38,,105.84,,,,,,,,,,
JLMZ200540,MZ20-0540,675716917203,Whale Love Sheet Set - Full,14.11,,18.81,,14.11,,18.81,,,,,,,,,,
JLFPF180159,FPF18-0159,,Davenport Wing Chair - Fretwork,165.00,,220.00,,165.00,,220.00,,,,,,,,,,
JLMP413764,MP41-3764,675716849894,Bayside VALANCE,8.82,,11.76,,9.53,,12.70,,,,,,,,,,
JLMZK10111,MZK10-111,675716904548,Ocean Friends Complete Comforter Set - Full/Queen,40.43,,53.91,,40.43,,53.91,,,,,,,,,,
JLWR142234,WR14-2234,086569938558,Twin Falls Oversize Quilt Bed Set - King / Cal King,50.40,,67.20,,54.43,,72.58,,,,,,,,,,
JLHH101224,HH10-1224,675716504519,Ocean Breeze Comforter Set - King,132.50,,176.67,,143.10,,190.80,,,,,,,,,,
JLHH101621,HH10-1621,675716893903,Paradise Lagoon 6 Piece Comforter Set - Cal King,100.80,,134.40,,100.80,,134.40,,,,,,,,,,
JLMP103150,MP10-3150,675716799120,Taos Spice Comforter Set - Queen,63.00,,84.00,,68.04,,90.72,,,,,,,,,,
JLAH101612,HH10-1612,675716893804,Harbor House Bed Set - Full,80.64,,107.52,,80.64,,116.12,,,,,,,,,,
JLFPF180147,FPF18-0147,,Daphne Accent Chair - Quatrefoil,150.00,,200.00,,150.00,,200.00,,,,,,,,,,
JLHH10480,HH10-480,675716250294,Coastline COMFORTER (SET),79.00,,105.33,,85.32,,113.76,,,,,,,,,,
JLHH30709A,HH30-709A,,Newbury Neckroll Pillow,22.00,,29.33,,22.00,,29.33,,,,,,,,,,
JLMZ10516,MZ10-516,675716875145,Tropical Flowers Comforter Set - Twin/Twin XL,25.20,,33.60,,25.20,,33.60,,,,,,,,,,
JLHH10500,HH10-500,675716251499,Abstract Leaf Comforter Set - Queen,104.00,,138.67,,104.00,,138.67,,,,,,,,,,
JLMP10506,MP10-506,675716479701,Bayside COMFORTER (SET),78.74,,104.99,,85.04,,113.39,,,,,,,,,,
JLMP13374,MP13-374,675716438944,Bayside COVERLET&BEDSPR,52.49,,69.99,,56.69,,75.59,,,,,,,,,,
JLHH301230A,HH30-1230A,,Ocean Breeze Oblong Pillow,10.60,,10.60,,8.59,,11.45,,,,,,,,,,
JLMP10504,MP10-504,675716479688,Bayside COMFORTER (SET),68.24,,90.99,,73.70,,98.27,,,,,,,,,,
JLMP13375,MP13-375,675716438951,Bayside COVERLET&BEDSPR,57.74,,76.99,,62.36,,83.15,,,,,,,,,,
JLUHK100036,UHK10-0036,675716998325,Finn COMFORTER (SET),35.28,,47.04,,38.10,,50.80,,,,,,,,,,
