asin,sku,cost,item_description,vendor,brand, map pricing 
B01GJY21TI,2AEA15143,,Black Forest Decor Owl You Need is Love Framed Print,Black Forest Décor,Black Forest Décor,1000
B01GJY21DY,2AEA15144,,Black Forest Decor Owl Always Love You Framed Print,,,1000
B075WV2GFT,2AEA15171,,Black Forest Decor Resting Place Glassless Framed Print,,,1000
B075WV3Z64,2AEA15172,,Black Forest Decor Out for The Evening Glassless Framed Print,,,1000
B075WRG74K,2AEA15174,,Black Forest Decor Morning View Glassless Framed Print,,,1000
B075WSZFSQ,2AEA15178,,Black Forest Decor Out of The Mist Glassless Framed Print,,,1000
B075WNTX14,2AEA15179,,Black Forest Decor Undercover Deer Duo Glassless Framed Print,,,1000
B075WRRWQN,2AEA15180,,Black Forest Decor Snowbound Glassless Framed Print,,,1000
B01GJY3868,2AEA15181,,Black Forest Decor Finders Keepers Glassless Framed Print,,,1000
B075WQ152S,2AEA15182,,Black Forest Decor Fall Ritual Glassless Framed Print,,,1000
B01GJY31TC,2AEA15184,,Black Forest Decor The Family Glassless Framed Print,,,1000
B01GJY1G1C,2AEA15185,,Black Forest Decor Moose Country Glassless Framed Print,,,1000
B075WSRY55,2AEA15187,,Black Forest Decor Hurricane Ridge Glassless Framed Print,,,1000
B01GJY1MC0,2AEC35122,,Black Forest Decor Autumn Trees I Framed Print,,,1000
B01GJY1N9M,2AEC35123,,Black Forest Decor Autumn Trees II Framed Print,,,1000
B01GJY41CS,2AEC35199,,Black Forest Decor Upon The Leaves I Petite Framed Print,,,1000
B01GJY42XQ,2AEC35200,,Black Forest Decor Upon The Leaves II Petite Framed Print,,,1000
B01GJY1QZI,2AEC35204,,Black Forest Decor Cabin Life III Framed Print,,,1000
B01GJY1YFA,2AEC35205,,Black Forest Decor Cabin Life V Framed Print,,,1000
B01GJY1YXC,2AEC35206,,Black Forest Decor Cabin Life VI Framed Print,,,1000
B01GJY1ZZO,2AEC35207,,Black Forest Decor Cabin Life VII Framed Print,,,1000
B01GJY1UNG,2AEC35208,,Black Forest Decor Cabin Life IX Framed Print,,,1000
B01GJY15Y0,2AEC35221,,Black Forest Decor Misty Grove Framed Print,,,1000
B01GJY153G,2AEC35222,,Misty Forest Framed Print,,,1000
B07BW9WM4S,2AEC35238,,Black Forest Decor Cabin Thing Framed Art,,,1000
B07BWBGYM8,2AEC35239,,Black Forest Decor Owl Be Framed Art,,,1000
B07BWDJTB7,2AEC35240,,Black Forest Decor Happy Camper Framed Art,,,1000
B075WVRWLG,2AED45232,,Black Forest Decor Buck I Framed Print,,,1000
B075WTBRCV,2AED45233,,Black Forest Decor Buck II Framed Print,,,1000
B01GJY2ADA,2AEE55127,,Black Forest Decor Country Escape I Framed Print,,,1000
B01GJY2BAW,2AEE55128,,Black Forest Decor Country Escape II Framed Print,,,1000
B01GJY2ZVM,2AEE55177,,Black Forest Decor Tall Trees I Framed Print,,,1000
B01GJY30VG,2AEE55178,,Black Forest Decor Tall Trees II Framed Print,,,1000
B01GJY1I5Q,2AEF65103,,Black Forest Decor New Discoveries Small Framed Print,,,1000
B075WTC61F,2AEF65104,,Black Forest Decor Autumn's Majesty Framed Print,,,1000
B075WVYRNC,2AEF65106,,Black Forest Decor Glimpse of Power Framed Print,,,1000
B01GJXER1O,2AEF65109,,Black Forest Decor Stump Jumper Framed Print,,,1000
B01GJY1IGA,2AEF65136,,Black Forest Decor Autumn Passing Framed Print,,,1000
B01GJY2N2S,2AEF65151,,Black Forest Decor Solitude Small Framed Print,,,1000
B01GJY4BPK,2AEF65161,,Black Forest Decor Leaves Show Framed Print,,,1000
B01GJY32AK,2AEF65169,,Black Forest Decor Fantasia I Framed Print,,,1000
B01GJY36JC,2AEF65170,,Black Forest Decor Fantasia II Framed Print,,,1000
B01GJY2ZQM,2AEF65204,,Black Forest Decor Falling Embers I Petite Framed Print,,,1000
B01GJY30MA,2AEF65205,,Black Forest Decor Falling Embers II Petite Framed Print,,,1000
B01GJY2D5A,2AEF65217,,Black Forest Decor Rustic Elk Framed Print,,,1000
B01GJY39KI,2AEF65222,,Black Forest Decor Flow Trees I Petite Framed Print,,,1000
B01GJY3ARU,2AEF65223,,Black Forest Decor Flow Trees II Petite Framed Print,,,1000
B01GJY1RK2,2AEF65245,,Black Forest Decor North Shore Visitors Glassless Framed Print,,,1000
B01GJY2PLW,2AEF65246,,Black Forest Decor End of The Road Glassless Framed Print,,,1000
B01GJY2HYW,2AEF65250,,Black Forest Decor Simple Pleasures Glassless Framed Print,,,1000
B01GJY1EJG,2AEF65254,,Black Forest Decor Aurora Bliss Glassless Framed Print,,,1000
B01GJY13WY,2AEF65257,,Black Forest Decor Midnight Snack Glassless Framed Print,,,1000
B075WXF3FK,2AEF65259,,Black Forest Decor Quiet Evening Glassless Framed Print,,,1000
B01GJY15V8,2AEF65266,,Black Forest Decor A Walk in The Mist Glassless Framed Print,,,1000
B01GJY17QQ,2AEF65267,,Black Forest Decor A Winter's Night Glassless Framed Print,,,1000
B01GJY2TTA,2AEF65268,,Black Forest Decor Summertime Glassless Framed Print,,,1000
B01GJY22TM,2AEF65269,,Black Forest Decor Closing Time Glassless Framed Print,,,1000
B01GJY1GLW,2AEF65271,,Black Forest Decor Autumn Evening Glassless Framed Print,,,1000
B075WTVM8R,2AEF65272,,Black Forest Decor Under Cover Buck Glassless Framed Print,,,1000
B01GJY27PQ,2AEF65273,,Black Forest Decor Complete Serenity Glassless Framed Print,,,1000
B01GJY2SP0,2AEF65277,,Black Forest Decor Evening Serenity Glassless Framed Print,,,1000
B07BWDLVLP,2AEF65291,,Black Forest Decor Line Drawings IV Framed Art,,,1000
B07BW1NR2Y,2AEF65292,,Black Forest Decor Line Drawings V Framed Art,,,1000
